BOR;AN;FI;RS;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFLIB_PM;ETPSAL_PM;GAR_PM;AST_PM;EFFLIB_NEU;ETPSAL_NEU;GAR_NEU;AST_NEU;EFFLIB_PNM;ETPSAL_PNM
MCOAVC;2024;010000024;CH DE FLEYRIAT;010780054;1;20;667;6130;;3.8;0;0;;2.49;1;0;;
MCOAVC;2024;020000162;CH SAINT-QUENTIN;020000063;1;21;593;5388;;2.5;;;;2.5;;;;10.41
MCOAVC;2024;020000519;CH SOISSONS;020000261;1;23;1099;7276;;1.78;0;1;;1.78;0;1;;14.07
MCOAVC;2024;030000079;CH DE MONTLUCON;030780100;1;14;566;4785;;4.99;;1;;4.99;;1;;40.09
MCOAVC;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;13;411;4267;;1.1;0;1;;1.1;0;1;;14.06
MCOAVC;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1;18;761;6929;;5.95;0;1;;4.45;0;1;;39.71
MCOAVC;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;29;1373;9403;;4.29;1;;;4.19;1;;;
MCOAVC;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;16;641;4795;;1.28;0;1;;1.28;0;1;;21.72
MCOAVC;2024;110000023;CH CARCASSONNE;110780061;1;16;795;5236;;2.23;0;1;1;2.23;0;1;;37.03
MCOAVC;2024;110000056;CH NARBONNE;110780137;1;4;905;6492;0;0.92;;1;;0.92;;1;;10.3
MCOAVC;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;8;583;2201;;6.6;;;;4.77;;;;20.08
MCOAVC;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;4;601;1106;;0.43;1;0;;0.43;;;;18.83
MCOAVC;2024;130783293;APHM HOPITAL LA TIMONE;130786049;1;40;1144;12131;;10.86;1;1;;10.35;1;1;;84.37
MCOAVC;2024;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;32;1422;7612;10;;1;1;6;;1;1;4;18.66
MCOAVC;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;13;579;3764;;3.75;0;0;;0;0;0;;33.33
MCOAVC;2024;140000209;CHU CAEN;140000100;1;28;1154;9471;;1;0;1;;1;0;1;;37.17
MCOAVC;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;16;621;4706;;1.78;0;1;;1.78;0;1;;30.7
MCOAVC;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;28;1050;9781;;2.48;1;0;;2.48;1;0;;22.05
MCOAVC;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;1;16;502;2433;;4.21;0;1;;4.21;0;1;;35.32
MCOAVC;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;1;4;396;3661;;1;0;1;;1;0;1;;39.29
MCOAVC;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;14;583;4787;;1.38;;;;1.38;;;;15.34
MCOAVC;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;15;1079;4873;;1.3;1;0;;1.3;1;0;;34.95
MCOAVC;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;8;981;9260;;9.8;0;1;;8.8;0;1;;6.53
MCOAVC;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;19;886;5847;0;6.46;0;1;0;3.7;0;1;0;10.58
MCOAVC;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;24;755;7923;0;3.54;1;1;0;3.54;1;1;0;15.37
MCOAVC;2024;260000013;CH DE VALENCE;260000021;1;20;851;6285;;3.1;;;;3.1;;;;35.55
MCOAVC;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;14;362;3475;;4.3;0;1;;4.3;0;1;;15.94
MCOAVC;2024;280000084;CH DREUX;280000183;1;4;247;748;;1.3;1;1;;0.8;1;1;;7.36
MCOAVC;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;16;510;4366;;2.48;0;1;;2.48;0;1;;21.97
MCOAVC;2024;290000025;CHIC QUIMPER;290020700;1;6;1350;9931;;1.3;0;1;;1.3;0;1;;14.7
MCOAVC;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;22;984;7638;;0.95;;;;;;;;15.62
MCOAVC;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;1;17;755;4770;;3.46;0;0;;3.21;0;0;;26.89
MCOAVC;2024;300782117;CHU NIMES CAREMEAU;300780038;1;12;966;4174;;12.09;1;0;;11.96;1;0;;37.83
MCOAVC;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;15;572;3706;5;;;;5;;;;;12.04
MCOAVC;2024;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;78;2751;20467;;;;;;;;;;106.68
MCOAVC;2024;320000086;CH AUCH EN GASCOGNE;320780117;1;8;531;3193;;0.2;0;1;;0.2;0;1;;13.48
MCOAVC;2024;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;12;412;4098;;2.81;0;1;;2.81;0;1;;19.44
MCOAVC;2024;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;17;536;4732;0;0.93;0;1;0;0.93;0;1;;10.64
MCOAVC;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;48;1567;15425;;10.66;1;0;;7.46;0;0;;78.26
MCOAVC;2024;340000033;CH BEZIERS;340780055;1;26;1088;8743;;2.73;0;1;;2.73;0;1;;41.04
MCOAVC;2024;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;16;639;3721;8;0;0;1;8;0;0;1;3;11.33
MCOAVC;2024;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;16;1357;4951;;0.83;1;1;;0.68;1;0;;44.31
MCOAVC;2024;350000147;GHRE - SITE SAINT MALO BROUSSAIS;350000022;1;18;986;5839;;1.37;0;1;;1.37;0;1;;30.45
MCOAVC;2024;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;26;1088;8078;;3.76;;;;3.76;;;;54.21
MCOAVC;2024;370000861;CHRU BRETONNEAU - TOURS;370000481;1;30;1710;10000;;8.12;1;0;;8.12;1;0;;52.92
MCOAVC;2024;380000067;HOPITAL NORD - CHU38;380780080;1;35;1383;9963;;6.48;1;0;;6.48;1;0;;55.56
MCOAVC;2024;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;1;9;255;1410;0;1.37;0;1;0;1.37;0;1;0;13.39
MCOAVC;2024;390000040;CH LONS;390780146;1;2;355;613;;0.2;;;;0.2;;;;0.25
MCOAVC;2024;400000105;CENTRE HOSPITALIER DAX;400780193;1;16;675;6142;;0.93;0;1;;0.93;0;1;;22.67
MCOAVC;2024;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;13;443;3196;;3.91;;;;1.2;;;;25.01
MCOAVC;2024;420000010;CH DE ROANNE;420780033;1;16;503;3875;0;3.52;0;1;;1.82;0;1;;29.32
MCOAVC;2024;420785354;HOPITAL NORD - CHU42;420784878;1;21;541;7226;;4.67;1;0;;3.2;1;0;;43.02
MCOAVC;2024;430000117;CH EMILE ROUX LE PUY;430000018;1;11;530;3247;0;0.2;0;1;0;0.2;0;1;0;3.44
MCOAVC;2024;440000016;CH DE SAINT NAZAIRE;440000057;1;14;625;4878;;0.55;0;1;;0.55;0;1;;20.72
MCOAVC;2024;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;23;1028;6487;0;2.36;1;0;0;2.36;1;0;;37.58
MCOAVC;2024;450002613;CHRU ORLEANS - HOPITAL DE LA SOURCE;450000088;1;18;771;5429;;3.03;0;1;;3.03;0;1;;31.07
MCOAVC;2024;460000110;CH JEAN ROUGIER CAHORS;460780216;1;12;450;3136;0;2;0;1;0;2;0;1;0;23
MCOAVC;2024;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;470016171;1;18;760;5012;0;3.25;0;1;0;3.25;0;1;0;36.41
MCOAVC;2024;490000049;CHR ANGERS SITE LARREY;490000031;1;25;1156;7982;;3.06;1;0;;3.06;0;0;0;41.27
MCOAVC;2024;500000187;CHPC - SITE CHERBOURG;500000013;1;18;907;5716;;5.23;;;;5.23;;;;29.9
MCOAVC;2024;500000450;CH - SAINT-LO;500000112;1;16;677;5051;;1.26;0;1;;1.26;0;1;;20.78
MCOAVC;2024;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;23;1039;7700;;0.87;;;;0.87;;;0;27.35
MCOAVC;2024;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;36;1120;8926;;1.55;1;1;;1.55;1;1;;44.91
MCOAVC;2024;550000012;CH VERDUN/ST MIHIEL-HOP ST NICOLAS;550006795;1;9;323;2475;;1.55;0;1;;1.55;0;1;;7.27
MCOAVC;2024;550000434;CH BLD FV SITE BLD;550003354;1;16;474;4580;;2.54;0;1;;0.2;0;0;;14.86
MCOAVC;2024;560000127;CHBA SITE DE VANNES;560023210;1;22;1076;6755;;2;1;0;;2;1;0;;13.94
MCOAVC;2024;560000135;GHBS- HÔPITAL DU SCORFF;560005746;1;18;1004;6315;;2.24;0;1;;2.24;0;1;;25.2
MCOAVC;2024;560000143;CHCB SITE KERIO;560014748;1;15;529;4653;;5.07;0;1;;3.49;0;1;;17.27
MCOAVC;2024;570000059;CH MARIE-MADELEINE DE FORBACH;570025254;1;18;499;4494;;6.17;0;1;;5.17;0;1;;14.44
MCOAVC;2024;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;1;9;352;3188;;0.7;0;1;;0.7;0;1;;7.57
MCOAVC;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;1;31;1127;10495;;4.02;0;1;;4.02;0;1;;28.28
MCOAVC;2024;590000337;CH DUNKERQUE;590781415;1;16;872;4661;;2.37;0;1;;2.37;0;1;;31.37
MCOAVC;2024;590000535;CH DE MAUBEUGE MCO;590781803;1;16;629;4467;;1.77;1;1;;1.7;1;1;;25.13
MCOAVC;2024;590000618;CH VALENCIENNES;590782215;1;27;1356;8919;;4.4;;;;4.4;;;;41.49
