BOR;AN;FI;RS;FI_EJ;TELEMED_A1;TELEMED_A20;TELEMED_A21;TELEMED_A22;TELEMED_B1;TELEMED_B20;TELEMED_B21;TELEMED_B22;TELEMED_A2;TELEMED_A23;TELEMED_B2;TELEMED_B23;TELEMED_A3;TELEMED_A24;TELEMED_A25;TELEMED_B3;TELEMED_B24;TELEMED_B25;TELEMED_A4;TELEMED_B4;TELEMED_A17;TELEMED_A18;TELEMED_A19;TELEMED_A39;TELEMED_A26;TELEMED_A27;TELEMED_A28;TELEMED_A29;TELEMED_A30;TELEMED_A31;TELEMED_A32;TELEMED_A33;TELEMED_A34;TELEMED_A35;TELEMED_A36;TELEMED_A37;TELEMED_A38
TELEMED;2024;010000024;CH DE FLEYRIAT;010780054;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;;0;0;0;0;1;0;1;1;0;0;0;0;0;0
TELEMED;2024;010000032;CH BUGEY SUD;010780062;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2024;010000081;CH DU PAYS DE GEX;010780112;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2024;020000162;CH SAINT-QUENTIN;020000063;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;;0;0;0;1;1;0;1;0;1;0;0;0;0;0
TELEMED;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;1;1;0;0;0;0;0;0
TELEMED;2024;020000519;CH SOISSONS;020000261;0;;;;0;;;;1;0;0;0;1;1;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020000535;CH CHAUNY;020000287;0;;;;1;0;0;0;0;0;1;1;0;;;0;;;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TELEMED;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;4;0;0;1;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2024;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020001913;UNITE DE DIALYSE DE LAON;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020006441;UNITE DIALYSE DE COURMELLES;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020016242;UNITE DE DIALYSE DE GUISE;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;020018545;SANTELYS UNITÉ DE DIALYSE DE VERVINS;590799995;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;030000061;CH DE MOULINS;030780092;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;1;1;14;1;0;0;1;0;0;1;0;1;1;1;1;0;1
TELEMED;2024;030000079;CH DE MONTLUCON;030780100;1;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;1;1;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1;9;1;0;1;1;1;1;1;1;1;1;1;1;0;1
TELEMED;2024;030003768;AURA SANTE VICHY;630000990;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TELEMED;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;040000119;EPS LUMIERE DE RIEZ;040780231;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;1;0;1;1;0;1
TELEMED;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2024;040003113;CTRE NEPHRO B.BRAUN AVITUM SISTERON;920040862;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;1;0;0;0;0;1;0;1
TELEMED;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;1;0;0;0;0;1;0;1
TELEMED;2024;040787541;CTRE NEPHRO B.BRAUN AVITUM DIGNE;920040862;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;1;0;0;0;0;1;0;1
TELEMED;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;;1;0;0;0;0;0;1;1;0;0;0;1;0;0
TELEMED;2024;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
TELEMED;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;2;1;0;1;1;1;1;1;0;0;0;0;0;0;0
TELEMED;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;15;0;0;0;0;0;1;1;1;1;1;0;0;0;0
TELEMED;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;0;;;;0;;;;1;0;1;0;0;;;0;;;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;050001064;CENTRE MEDICAL LA DURANCE;050000561;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0
TELEMED;2024;050008630;HJ L'ESCALE BRIANCON;050000116;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1;0;0;0;0;0;0;0;0;1;1;1;1;1
TELEMED;2024;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0
TELEMED;2024;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;0;0;1;1;0;0;1;0;1;0;1;0;0;0
TELEMED;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;31;1;0;0;0;0;0;1;1;0;1;0;1;0;1
TELEMED;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;;1;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;18;0;0;0;0;0;0;1;0;0;0;0;0;0;1
TELEMED;2024;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;0;0;0;;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;1;1;0;0;1;0;0;0
TELEMED;2024;060002102;CH LA PALMOSA DE MENTON;060791761;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;0;0;0;0;0;0;0
