BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALHYB;SAL24HYB;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2024;010000024;CH DE FLEYRIAT;010780054;2;8;0;2;2;0;0;1;0;1;0;0;0;12;2;;2;1;;20;4;;4225;4031;8256;6914;;482;284;766;637;;25;1;26;1;;290;129;419;273;;2458;3356;5814;3994;;7;63;70;3;
BLOCS;2024;010000032;CH BUGEY SUD;010780062;1;2;2;1;1;0;0;0;0;1;0;0;0;4;3;0;1;1;0;6;6;0;1111;1281;2392;2112;1391;220;41;261;110;0;0;0;0;0;0;0;0;0;0;0;329;855;1184;803;3825;0;5;5;3;0
BLOCS;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;3;;1;;0;;0;;2;;1;;7;;;1;;;8;;;1265;1514;2779;2149;;342;25;367;124;;2;0;2;1;;3;46;49;0;;359;1093;1452;878;;0;0;0;0;
BLOCS;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;;;;;;;;;1;;;;1;;1;;;1;;;5;0;1859;1859;1276;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;371;371;247;;0;0;0;0;
BLOCS;2024;010780195;CLINIQUE CONVERT;010000156;1;8;;0;;1;;1;;1;;0;;11;;0;1;;;18;;;3741;6623;10364;9353;;0;0;0;0;;877;792;1669;4;;83;216;299;152;;993;5197;6190;3776;;7;55;62;20;
BLOCS;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;4;1;1;1;0;0;0;0;1;0;1;0;7;2;0;1;1;0;8;8;0;2839;5385;8224;7023;;167;12;179;141;;1;0;1;0;;35;163;198;72;;594;2336;2930;1592;;1;32;33;13;
BLOCS;2024;020000162;CH SAINT-QUENTIN;020000063;1;12;8;1;1;1;1;0;0;3;1;;0;17;11;;1;1;;25;25;;6475;8823;15298;12856;;1101;189;1290;515;;1699;10;1709;1048;;205;394;599;317;;3583;3901;7484;3894;;8;12;20;1;
BLOCS;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;1;3;;0;;0;;;;1;;;;4;;;1;;;6;;;1032;4916;5948;5285;;0;0;0;0;;0;0;0;0;;0;0;0;0;;308;754;1062;715;;1;52;53;52;
BLOCS;2024;020000394;CH LAON;020000253;1;4;1;1;;1;;;;2;;;;8;1;;1;1;;9;9;;1866;2358;4224;2512;;331;60;391;232;;36;0;36;2;;1;10;11;1;;1579;1492;3071;2092;;4;143;147;0;
BLOCS;2024;020000519;CH SOISSONS;020000261;3;5;1;1;1;1;1;0;0;1;1;0;0;8;4;;1;0;;8;0;;2469;1681;4150;3161;3452;590;81;671;303;11;581;20;601;0;23;27;4;31;0;1;1598;1638;3236;1546;1772;5;10;15;0;420
