BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
CHIRCAR_P;2024;010780195;CLINIQUE CONVERT;010000156;M1040;0;6;;
CHIRCAR_P;2024;010780195;CLINIQUE CONVERT;010000156;M104I;0;3;;
CHIRCAR_P;2024;010780195;CLINIQUE CONVERT;010000156;MAUT;1;;;
CHIRCAR_P;2024;010780195;CLINIQUE CONVERT;010000156;N2310;1.92;0;;
CHIRCAR_P;2024;010780195;CLINIQUE CONVERT;010000156;N4130;1.08;0;;
CHIRCAR_P;2024;020000162;CH SAINT-QUENTIN;020000063;M103X;1;;0;0
CHIRCAR_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1040;3;;0;1
CHIRCAR_P;2024;020000162;CH SAINT-QUENTIN;020000063;M104I;3;;0;0
CHIRCAR_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1160;1;;0;0
CHIRCAR_P;2024;020000519;CH SOISSONS;020000261;M1040;2.89;;0;1
CHIRCAR_P;2024;020000519;CH SOISSONS;020000261;MAUT;0.54;;0;0
CHIRCAR_P;2024;020000519;CH SOISSONS;020000261;N2200;16.62;;;
CHIRCAR_P;2024;020000519;CH SOISSONS;020000261;N2510;12.03;;;
CHIRCAR_P;2024;020000519;CH SOISSONS;020000261;NAUT;6.42;;;
CHIRCAR_P;2024;030000061;CH DE MOULINS;030780092;M1040;2.6;0;0;1
CHIRCAR_P;2024;030000061;CH DE MOULINS;030780092;M104I;5;0;0;1
CHIRCAR_P;2024;030000061;CH DE MOULINS;030780092;N2200;10.53;;;
CHIRCAR_P;2024;030000061;CH DE MOULINS;030780092;N2510;8.04;;;
CHIRCAR_P;2024;030000061;CH DE MOULINS;030780092;NAUT;3.04;;;
CHIRCAR_P;2024;030000079;CH DE MONTLUCON;030780100;M1040;1.5;4;;
CHIRCAR_P;2024;030000079;CH DE MONTLUCON;030780100;N2200;2;;;
CHIRCAR_P;2024;030000079;CH DE MONTLUCON;030780100;N4130;2;;;
CHIRCAR_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;0.78;;;
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1040;6.35;;0;1
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;MAUT;0.2;;0;0
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;12.76;;;
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;2.7;;;
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;3.68;;;
CHIRCAR_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2.01;;;
CHIRCAR_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M103X;9.89;;1;0
CHIRCAR_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1040;7.28;2;1;1
CHIRCAR_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M104I;3;;;
CHIRCAR_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;9.85;;0;1
