BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2024;010000024;CH DE FLEYRIAT;010780054;60;20861;71;69;;;21;1;3;;25;13;;1;;;6;;;;;;2;;
USLD;2024;010000081;CH DU PAYS DE GEX;010780112;30;9185;23;19;;;;;;;4;4;;;;;15;;;;;;;;
USLD;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;30;10155;20;19;;1;1;5;;;5;4;;;;;4;0;0;0;0;0;4;0;0
USLD;2024;010009702;USLD EMILE PELICAND;010780054;11;3829;10;4;;;;;;;6;;;;;;2;;;;;;2;;
USLD;2024;010789576;USLD;010780096;30;10385;25;18;0;0;2;0;0;0;15;1;0;0;0;0;7;;;2;;;4;5;
USLD;2024;010789717;USLD CH D'OYONNAX;010008407;35;12489;11;19;;;;;;;;;;;;;;;;;;;;;
USLD;2024;020000089;CH GUISE;020000022;30;8404;16;11;0;0;3;0;0;0;8;1;0;0;0;0;4;0;0;0;0;0;1;0;0
USLD;2024;020000162;CH SAINT-QUENTIN;020000063;43;17980;21;26;1;;11;;4;1;;;;;;;7;0;0;0;0;0;0;0;2
USLD;2024;020000535;CH CHAUNY;020000287;44;6511;20;21;;;4;;;;7;3;;;;;6;;;;;;;;
USLD;2024;020004677;USLD CH SOISSONS;020000261;50;10806;48;28;;;5;;2;;25;;;;;;16;;;;;;14;;
USLD;2024;020005476;USLD CH LAON;020000253;40;10547;14;15;;;13;;1;;;;;;;;;;;;;;2;1;
USLD;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;30;2960;7;2;;;;;;1;;3;;2;;;1;;1;;1;;1;;
USLD;2024;030000061;CH DE MOULINS;030780092;80;28953;41;24;0;0;34;2;0;0;31;9;3;0;3;3;38;0;0;4;3;0;7;6;0
USLD;2024;030000079;CH DE MONTLUCON;030780100;60;17634;46;23;;;18;;0;;10;3;;;;;11;;;;;;0;;
USLD;2024;030000087;CH JACQUES LACARIN VICHY;030780118;108;37783;62;48;0;0;30;4;0;0;17;1;1;0;0;0;2;1;0;0;25;0;0;1;3
USLD;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;40;14446;15;10;0;0;0;8;0;3;0;0;2;0;0;0;2;0;0;0;0;0;2;1;0
USLD;2024;040780405;CENTRE DES CARMES;040000168;41;10637;20;12;;;;1;;1;;4;;;;;3;;;;;0;;;
USLD;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;30;10545;17;13;;;2;;;6;5;;;;;;4;;;;;;;;
USLD;2024;050000132;CH BUECH DURANCE;050007145;25;8419;12;7;;;;;;;;;;;;;;;;;;;;;
USLD;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;30;10980;13;11;;;;;;;;;;;;;;;;;;;;;
USLD;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;30;10980;21;16;;;;;;;10;4;;;;;5;1;;1;;;;;1
USLD;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;40;14640;26;15;;;;;;;;;;;;;;;;;;;;;
USLD;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;30;9812;18;13;0;0;2;0;2;0;7;2;0;0;0;0;5;;;;;;1;0;1
USLD;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;61;15233;37;32;;;;;;14;;8;;2;3;10;;0;0;;;0;;;
USLD;2024;060002102;CH LA PALMOSA DE MENTON;060791761;30;10587;24;18;;;6;;;2;16;;;;;;;;;;;;;;
USLD;2024;060019213;USLD DOLCE FARNIENTE;060005188;60;16593;45;30;;;;23;;0;;6;;0;;0;16;0;0;0;6;0;;;0
USLD;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;61;12377;22;15;;;2;;;;11;3;;;;;6;;;;6;;;;
USLD;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;40;13781;13;6;;;;;;;13;;;;;;;;;;;;6;2;
USLD;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;54;19338;28;16;;;;;1;;23;1;;;;;3;28;;;;;8;;
USLD;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;75;26878;27;21;1;;10;;0;;4;4;0;;0;;8;0;0;0;0;0;;1;
USLD;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;75;23030;40;21;;;6;6;;;24;;;;;;4;0;0;0;5;0;0;7;6
USLD;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;60;20924;45;29;0;;17;;0;;20;;;1;0;;7;;;30;;;3;1;0
USLD;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;43;13900;40;33;;;6;1;;;5;6;;;;;22;;;;;;;;
USLD;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;20;6133;16;13;;;6;;;;7;;;;;;3;;;;;2;;;
