BOR;AN;FI;RS;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A37;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A36;PHARMA_F8;PHARMA_G8;PHARMA_E8;PHARMA_H8;PHARMA_F9;PHARMA_G9;PHARMA_H9;PHARMA_E9;PHARMA_A20;PHARMA_A11;PHARMA_B14;PHARMA_C14;PHARMA_A16;PHARMA_A38;PHARMA_A17;PHARMA_A18;PHARMA_A39;PHARMA_A40;PHARMA_A41;PHARMA_A42;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A43;PHARMA_A44;PHARMA_A45;PHARMA_A46;PHARMA_A47;PHARMA_A25;PHARMA_A26;PHARMA_A48;PHARMA_A49;PHARMA_A50;PHARMA_F29;PHARMA_F30;PHARMA_F31;PHARMA_F32;PHARMA_F33;PHARMA_F34;PHARMA_F35;PHARMA_G29;PHARMA_G30;PHARMA_G31;PHARMA_G32;PHARMA_G33;PHARMA_G34;PHARMA_G35;PHARMA_D29;PHARMA_E29
PHARMA;2024;010000024;CH DE FLEYRIAT;010780054;1;4;0;7;1;;0;290;0;52;104;169;0;;;;;;;;;1;1;156;169;1;1;0;0;0;1;73599;5915;1;1;50;0;690;1;0;0;0;1;1;4;1;4;7.64;0.4;1.41;1.5;25.8;18.99;4;;;;;;;;0;1
PHARMA;2024;010000032;CH BUGEY SUD;010780062;1;4;0;;0;0;0;133;0;40;0;185;0;;;;;;;;;1;1;0;185;1;0;0;0;0;0;4672;2917;1;0;;;;1;0;0;0;0;0;;;;2.67;;2.67;0.33;6.64;0.03;0.86;;;;;;;;0;1
PHARMA;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;1;;0;62;0;73;30;234;0;;;;;;;;;1;1;30;234;0;1;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;1.13;;;;6.4;;;;;;;;;;0;0
PHARMA;2024;010000081;CH DU PAYS DE GEX;010780112;0;;;;1;0;0;0;0;20;30;240;0;;;;;;;;;0;1;50;240;0;0;0;0;0;0;;96;1;0;;;;0;0;0;0;0;0;0;0;0;1.5;0;0;0;2.8;0;0;;;;;;;;0;0
PHARMA;2024;010000099;CH DE MEXIMIEUX;010780120;0;;;;1;1;0;10;;20;;121;0;;;;;;;;;1;1;30;121;0;0;0;0;1;0;4210;987;0;0;;;;0;0;0;0;0;0;;;;0.8;;;;1.6;;;0;;;;;;;0;0
PHARMA;2024;010000107;CH DE PONT DE VAUX;010780138;1;4;0;6;;;;15;;20;;;0;;;;;;;;;1;1;35;142;0;1;0;0;1;0;;;0;0;;;;0;1;0;0;0;0;;;;0.48;;;;0.29;;;;;;;;;;0;0
PHARMA;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;1;4;0;;;;;12;0;18;30;111;0;;;;;;;;;1;1;60;111;0;1;0;0;0;0;1160;566;1;0;;;;0;0;0;0;0;0;;;;0.98;;;;2.44;;;;;;;;;;0;0
PHARMA;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;1;4;0;;0;1;;8;0;29;0;234;0;;;;;;;;;1;1;0;234;0;1;0;0;1;0;11248;632;1;0;;;;0;1;0;0;0;0;;;;1.18;;;;1.35;;;;;;;;;;0;0
PHARMA;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;4;0;;1;0;0;16;0;90;0;69;1;0;0;0;0;0;0;1;0;1;1;;;0;1;0;0;1;0;;;1;0;;;;0;1;1;0;0;0;;;;1.45;0;0;0;4;1.14;0.83;0;0;0;0;0;0;0;0;0
PHARMA;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;0;;;;1;;;;274;;;;0;;;;;;;;;1;1;0;40;0;0;0;0;0;0;20000;2708;1;0;;;;1;0;0;0;0;0;;;;3.42;;;;4.27;1;0.92;;;;;;;;0;1
PHARMA;2024;010002129;CLINIQUE LES ARBELLES;310025010;0;;;;1;0;0;;;100;;;0;;;;;;;;;1;1;100;;0;0;0;1;0;0;1234304;74866;0;0;;;;0;0;0;0;0;0;;;;1.15;;;;0.95;;;;;;;;;;0;0
PHARMA;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;1;0;0;150;;30;35;;0;;;;;;;;;1;1;65;250;1;1;0;0;1;1;;;1;1;0;0;0;0;0;0;0;1;1;2;;2;3;0.5;0.3;0.25;12.5;5.25;1;;;;;;;;0;0
PHARMA;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;0;0;0;70;;;;;0;;;;;;;;;1;1;70;;0;1;0;0;1;0;;;0;1;70;0;0;0;0;0;0;1;1;2;;2;0.5;;;;2.3;1.83;;0;;;;;;;0;0
PHARMA;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0;;;;;;;;;91;;;0;;;;;;;;;1;1;91;;0;0;0;0;1;1;14445;832;0;0;;;;0;0;0;0;0;0;;;;1;;;;0.7;;;;;;;;;;0;0
PHARMA;2024;010780195;CLINIQUE CONVERT;010000156;0;;;;1;0;0;114;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;70;0;1;0;0;1;0;0;14540;243;0;0;;;;0;0;0;0;1;1;2;0;2;2;0.3;0.6;0;5.75;1.9;0;0;0;0;0;0;0;0;0;0
PHARMA;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;0;0;0;71;0;0;0;0;0;;;;;;;;;1;1;;;0;0;0;0;1;0;;;0;1;60;;;0;0;0;0;1;1;2;0;2;1.87;0.5;;;3.06;1.39;;;;;;;;;0;0
PHARMA;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;0;;;;1;0;0;;;100;;;0;;;;;;;;;1;1;100;;0;1;0;0;1;0;7220;399;0;0;;;;0;0;0;0;0;0;;;;0.6;;;;1.36;;;;;;;;;;0;0
PHARMA;2024;010780492;CRF ROMANS-FERRARI;360000707;0;;;;;;;;;67;;;0;;;;;;;;;1;1;67;;0;0;0;0;0;0;4312;135;0;0;;;;0;0;0;0;0;0;;;;0.93;;;;0.68;;;;;;;;;;0;0
PHARMA;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;0;;;;1;0;;;;186;;50;0;;;;;;;;;1;1;186;50;0;1;0;0;1;0;13429;742;0;0;;;;0;0;0;0;0;0;;;;0.24;0;0;2.25;3.41;0;0;;;;;;;;0;0
PHARMA;2024;020000089;CH GUISE;020000022;0;;;;0;0;0;58;0;42;30;115;0;;;;;;;;;1;1;130;115;0;0;0;0;1;0;15582;410;1;1;30;0;0;0;0;0;0;0;0;;;;1.6;0;0;0;4.6;0;0.8;0;0;0;0;0;0;0;0;0
PHARMA;2024;020000097;CH LA FÈRE;020000048;1;4;;;0;;;38;;31;;105;0;;;;;;;;;1;1;69;;0;0;0;0;1;0;11927;101;1;0;;;;0;0;0;0;0;0;;;;1.12;;;;1.8;;;;;;;;;;0;0
PHARMA;2024;020000162;CH SAINT-QUENTIN;020000063;1;4;0;;0;0;1;469;36;56;43;191;1;0;0;0;1;0;1;0;0;1;1;;0;1;1;0;1;1;1;46417;9749;1;0;;;;1;0;0;0;0;0;;;;8.6;1;1;1.19;21.84;42.03;1.28;;;;;;;;0;1
PHARMA;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;0;;;;;;;;;253;;;0;;;;;;;;;1;1;253;;0;0;0;0;1;0;38056;1194;0;0;;;;0;1;0;0;0;0;;;;2.15;;;;4.45;1.49;;;;;;;;;0;0
PHARMA;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;;;;;;;30;;;;;0;;;;;;;;;1;1;30;;0;0;0;0;1;0;26064;1160;0;0;;;;0;0;0;0;0;0;;;;1;;;;2.07;;;;;;;;;;0;0
PHARMA;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;0;;;;1;;;;86;;;;0;;;;;;;;;1;1;86;;0;0;0;0;1;1;10005;1020;0;0;;;;0;0;0;0;0;0;;;;1.03;;;1.08;;;;;;;;;;;0;0
PHARMA;2024;020000394;CH LAON;020000253;1;4;0;8;0;0;1;265;;260;40;472;1;0;1;0;1;0;0;0;0;1;1;207;52;1;0;0;0;1;1;164720;4418;1;1;;;500;0;0;0;0;0;0;;;;5.38;;;;7.87;3.67;3;;;;;;;;0;1
PHARMA;2024;020000519;CH SOISSONS;020000261;1;4;0;;0;0;1;263;;47;50;290;1;0;0;0;0;0;1;0;0;1;1;86;101;1;0;0;0;1;1;9658;2438;1;0;;;;0;0;0;0;1;1;2;0;3;4.4;;;1.25;9.25;12.74;2;;;;;;;;0;1
PHARMA;2024;020000535;CH CHAUNY;020000287;1;4;0;8;;;;;;;;;1;1;0;0;1;0;0;0;0;1;1;;;0;0;0;0;1;1;100000;579;1;0;;;;0;0;0;0;0;0;;;;3;;;0.25;6.16;2.47;2.54;;;;;;;;0;1
PHARMA;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0;;;;;;;;479;;;50;0;;;;;;;;;1;1;479;50;0;0;0;0;1;0;16359;2084;0;0;;;;0;0;0;0;0;0;;;;2;;;0.6;5.9;0;2;;;;;;;;0;0
PHARMA;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;0;;;;1;0;0;;;184;;;0;;;;;;;;;1;1;184;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;1;;;;2;;;;;;;;;;0;1
PHARMA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;0;;;;0;0;0;170;;;;187;1;0;1;0;0;0;0;0;0;1;1;;;0;0;0;0;1;1;47754;3707;1;1;0;0;100;0;0;0;0;1;1;3;0;2;2.42;0.2;0.4;0.8;8;2.92;0.8;;;;;;;;0;1
PHARMA;2024;020001087;CH HIRSON;020004495;0;;;;;;1;75;;45;;86;1;0;0;0;1;1;1;1;1;1;1;120;86;0;0;0;0;0;0;31587;2329;1;0;0;0;;0;0;0;0;0;0;;;;1.05;;;;5.28;0.67;0.6;;;;;;;;0;1
PHARMA;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0;;;;0;0;0;;;;;;0;;;;;;;;;0;0;60;;0;0;0;0;0;0;;;0;0;;;;0;0;0;1;0;0;;;;;;;;0.46;;;1;;;;;;;0;0
PHARMA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;0;;;;1;0;;174;0;;;;0;;;;;;;;;1;1;24;;1;0;0;0;1;1;95329;;0;0;;;;0;0;0;0;0;0;0;0;4;1.73;0;0.7;0;4.78;0;0;;;;;;;;0;1
PHARMA;2024;030000061;CH DE MOULINS;030780092;1;4;0;14;1;0;0;282;125;40;80;236;0;;;;;;;;;1;1;20;;1;0;0;0;1;1;4736;783;1;1;20;0;270;0;0;0;0;1;1;3;0;3;6.8;0.2;0.9;0;14.09;11.67;2.8;;;;;;;;0;1
PHARMA;2024;030000079;CH DE MONTLUCON;030780100;1;4;0;;1;0;0;302;46;89;60;391;0;;;;;;;;;1;1;90;100;1;0;0;1;0;1;17147;5852;1;1;30;;;0;0;0;0;1;1;3;0;3;7.5;0.5;0.5;0.15;15.43;19.96;2;;;;;;;;0;1
PHARMA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;4;0;14;;;;361;113;52;108;;1;0;1;0;0;0;0;0;0;1;1;50;;1;0;0;0;1;1;2982;1602;1;1;50;;;0;0;0;0;1;1;3;0;3;8.06;0.54;1.62;1;12.26;22.84;1.95;;;;;;;;0;1
PHARMA;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1;4;0;;;;;8;;40;;181;0;;;;;;;;;1;1;48;181;0;0;0;0;1;0;16651;625;0;0;;;;0;0;0;0;0;0;;;;1;;;;3.37;;0.32;;;;;;;;0;0
PHARMA;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;1;4;0;14;;;;;306;;40;;0;;;;;;;;;1;1;346;;0;0;1;0;1;1;5320;435;1;0;;;;0;0;1;1;0;0;;;;2;0;0;1;6.76;0.6;1;0;0;0;0;0;0;0;0;0
PHARMA;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0;;;;1;0;0;10;0;130;0;299;0;;;;;;;;;1;0;140;299;0;1;0;0;1;0;15108;3918;0;0;;;;0;1;0;1;0;0;;;;1;0;0;0;2.92;0;0.6;0;0;0;0;0;0;0;0;0
PHARMA;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;0;;;;;;;49;;35;;;0;;;;;;;;;1;1;84;;0;0;0;0;1;1;75622;21144;0;0;;;;0;0;0;0;1;1;2;;2;1.12;0.2;0.3;;4.05;5.2;;0;;;;;;;0;0
PHARMA;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;;;;;99;;38;;;0;;;;;;;;;1;1;83;;1;0;0;0;0;0;15834;376;0;0;;;;0;0;0;0;1;1;4;0;4;2.32;0.3;1;;8.5;1.85;1;;;;;;;;0;0
PHARMA;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;0;;;;0;0;0;91;;;;;0;;;;;;;;;1;1;91;;1;0;0;0;1;0;5186;0;1;0;;;;0;0;0;0;1;1;2;0;2;0.9;0.1;0.3;0;2.1;;;;;;;;;;0;0
PHARMA;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0;;;;1;0;0;5;;10;;;0;;;;;;;;;1;1;15;49;0;0;0;0;0;0;;;1;0;;;;0;1;1;0;0;0;;;;0.5;0;0;0;0.6;0;0;;;;;;;;0;0
PHARMA;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;4;0;2;1;1;0;0;0;56;30;130;0;;;;;;;;;0;1;;;1;0;0;1;0;0;;;1;0;;;;1;0;0;0;0;0;;;;3.76;0;0;0;8.44;6.19;2.58;0;0;0;0;0;0;0;0;1
PHARMA;2024;040000119;EPS LUMIERE DE RIEZ;040780231;1;3;0;;0;;;4;;15;;63;0;;;;;;;;;1;1;19;63;0;0;0;0;1;1;1829;1371;0;0;;;;0;0;0;0;0;0;;;;0.9;;;;0.9;;;;;;;;;;0;0
PHARMA;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;3;0;;1;0;0;24;0;15;0;53;0;;;;;;;;;1;1;0;53;0;0;0;0;1;1;;;1;0;;;;1;0;1;1;0;0;;;;1.45;;;;3.05;1.29;;;;;;;;;0;1
PHARMA;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;4;0;2;;;;119;117;66;;34;1;0;1;0;1;0;0;0;0;1;1;302;35;0;1;0;0;1;1;81892;3920;1;1;0;0;35;1;0;0;0;0;0;;;;3.5;0.54;;1.75;7.12;10.66;0;;;;;;;;0;1
PHARMA;2024;040780389;CLINIQUE JEAN GIONO;040000150;0;;;;;;;;;85;;;0;;;;;;;;;1;1;85;;0;0;0;0;1;0;614;457;0;0;;;;0;0;0;0;0;0;;;;1;;;;1;;;;;;;;;;0;0
PHARMA;2024;040780405;CENTRE DES CARMES;040000168;0;;;;1;0;0;;;70;41;59;0;;;;;;;;;1;1;111;59;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;1;;;;2;;;;;;;;;;0;0
PHARMA;2024;040780470;CLINIQUE TOUTES AURES;040000192;0;;;;0;0;0;20;;;;;0;;;;;;;;;1;1;20;;0;0;0;0;1;0;12199;187;0;0;;;;0;0;0;0;1;0;2;0;2;1;0.2;;;1.7;;;;;;;;;;0;0
PHARMA;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0;;;;1;;;;;80;;;0;;;;;;;;;1;1;80;;0;0;0;0;1;1;7926;310;0;0;;;;0;0;0;0;0;0;;;;0.94;;;;0.65;;;;;;;;;;0;0
PHARMA;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;1;3;1;0;1;0;0;50;;;;;0;;;;;;;;;1;1;51;;0;0;0;0;1;1;3105;143;0;1;;2;;0;0;0;0;0;0;;;;0.8;;;;1;0.3;;;;;;;;;0;0
PHARMA;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;0;;;;0;0;0;;;60;;;0;;;;;;;;;1;1;60;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;;;;;;;;;;;1;;;;1;;;0;0
PHARMA;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0;;;;;;;86;0;0;0;0;0;;;;;;;;;1;1;29;0;0;0;0;0;1;0;3851;;1;0;;;;0;0;0;0;1;1;2;;3;1.2;0.2;;1;3;7;;;;;;;;;0;0
PHARMA;2024;050000132;CH BUECH DURANCE;050007145;1;4;0;6;1;0;0;;75;;25;126;1;0;0;0;1;0;0;0;0;1;1;101;126;0;0;0;0;1;1;9231;;0;0;;;;0;0;0;0;0;0;;;;1.4;0;0;0.2;3.51;0;0;;;;;;;;0;0
PHARMA;2024;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;1;4;0;;0;0;0;4;;;;71;1;0;1;0;0;0;0;0;0;1;1;4;71;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;0.6;;;;0.8;;;;;;;;;;0;1
PHARMA;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;1;1;;1;;;88;14;90;45;45;0;;;;;;;;;1;1;133;0;1;1;0;0;1;1;;;1;1;5;0;0;0;0;1;1;1;1;2;0;3;4.74;0.4;;0.68;9.34;4.4;2.08;0;0;0;0;0;0;0;0;1
PHARMA;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;4;0;5;;;;21;;20;30;116;0;;;;;;;;;0;0;58;33;0;0;0;0;1;0;6991;1784;1;0;;;;0;0;0;0;0;0;0;0;0;1;;;;2.5;;0.5;;;;;;;;0;0
PHARMA;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;3;1;;1;0;0;342;0;145;40;55;0;;;;;;;;;1;1;179;125;1;1;0;0;1;1;72686;6649;1;1;50;0;40;1;0;1;1;1;1;2;1;3;8.4;0.6;1.6;0.2;20.51;18.02;6.35;;;;;;;;0;1
PHARMA;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;0;;;;;;;;;72;;;0;;;;;;;;;1;1;72;;0;0;0;1;1;1;4;4;1;0;;;;0;0;0;0;0;0;;;;0.5;;;1;0.5;;;;;;;;;;0;0
PHARMA;2024;050000637;CLINIQUE MONTJOY;050001163;0;;;;0;0;0;;;66;;;0;;;;;;;;;1;1;66;;0;0;0;1;1;0;;;0;0;;;;1;1;1;1;0;0;;;;0.5;;;1;0.5;;;;;;;;;;0;0
PHARMA;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;1;1;0;3;;;;;40;131;;;0;;;;;;;;;1;1;171;;0;0;0;0;1;0;13177;;0;0;;;;0;0;0;0;0;0;;;;1.54;;;;3.08;;;;;;;;;;0;0
