BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_D19;CANCERO_D20;CANCERO_D21;CANCERO_D22;CANCERO_D23;CANCERO_E19;CANCERO_E20;CANCERO_E21;CANCERO_E22;CANCERO_E23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_D28;CANCERO_D29;CANCERO_D30;CANCERO_D31;CANCERO_D32;CANCERO_D33;CANCERO_D34;CANCERO_E24;CANCERO_E26;CANCERO_E28;CANCERO_E29;CANCERO_E30;CANCERO_E31;CANCERO_E32;CANCERO_E33;CANCERO_E34
CANCERO;2024;010000024;CH DE FLEYRIAT;010780054;1;1;1;34666;219;33506;9508;1141;1;;;;11935;219;263;11383;2;0;;1122;20587;94;0;0;2.8;3.8;12.25;0.34;3.68;;;;;;14;24;0;0;513;12732;0;0;0;0;0;0;5050;0;4.65;1.45;19.58;9.39;0.42;;9.5;0;0;;;;;;;
CANCERO;2024;010000032;CH BUGEY SUD;010780062;1;0;0;1013;0;881;1087;0;0;730000015;;;917;0;36;851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;326;0;293;309;0;0;010780054;;;252;0;0;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;0;27;0;0;878;0;690023411;;;0;27;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;010780195;CLINIQUE CONVERT;010000156;1;0;1;3544;0;3281;1653;0;1;690783220;;;3139;0;4;3108;;;;;;;;;;;;;;;;;;;;14;;;0;3174;0;0;0;0;0;0;0;0;1;4;3.34;0;0.2;0;0.18;0;0;;;;;;;
CANCERO;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;308;0;195;562;0;0;690023411;;;38;0;0;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;020000089;CH GUISE;020000022;1;0;0;0;3;0;0;139;0;;;;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;020000162;CH SAINT-QUENTIN;020000063;1;1;1;28170;0;27320;8373;0;1;;;;10793;0;216;10323;3;0;;900;15655;161;0;0;0;4.16;14.94;;1.22;;;;;;4;1;0;0;617;12816;0;0;0;1;0;0;6508;0;1.4;7.8;27.58;12.74;2;0;6.99;0;0;;;;;;;
CANCERO;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;0;324;0;213;408;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2024;020000394;CH LAON;020000253;1;0;1;1851;0;1641;1906;0;1;;;;1622;0;0;1593;;;;;;;;;;;;;;;;;;;31;11;;;24;181;0;0;0;0;0;0;269;0;1.41;;1.21;;;0.08;1.33;0;0;;;;;;;
CANCERO;2024;020000519;CH SOISSONS;020000261;1;1;1;4563;0;4351;1262;0;1;;;;4324;0;9;4291;;;;0;0;0;0;0;;;;;;;;;;;10;14;;;641;4351;0;0;0;0;0;0;3249;0;1.99;;12.34;6.99;;0.08;5.06;0;0;;;;;;;
