BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;IVG1516;CONV;IMG;AMP;PAT_AMP
PERINAT;2024;010000024;CH DE FLEYRIAT;010780054;TYPE2;;1;28;9;3;;5;2353;249;184;20;91;8;0;0;1643;2;9000;1976;1380;0;5471;1774;7887;290;1760;4;1744;30;14;;1815;3284;4163;;103;0;1;498;513;319;41;21;;14;0;0
PERINAT;2024;010000032;CH BUGEY SUD;010780062;TYPE1;;0;8;0;0;0;2;412;59;0;0;0;0;0;0;307;8;1372;0;0;0;1074;309;1280;60;314;0;309;0;8;0;310;1624;1991;86;8;0;1;77;87;45;2;1;1;0;0;0
PERINAT;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;64;73;64;0;0;;0;0;0
PERINAT;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;TYPE1;;;17;;;;3;708;132;0;0;0;0;0;0;470;4;2168;0;0;0;1663;470;1957;80;404;0;468;2;4;;472;3680;6473;0;6;1;1;90;117;88;1;0;;1;0;0
PERINAT;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;TYPE1;;;15;;;;3;617;45;0;0;0;0;0;0;505;15;2178;0;0;0;1758;502;2018;119;577;0;500;2;15;;506;;;;19;0;1;1;0;0;0;0;;0;0;0
PERINAT;2024;020000089;CH GUISE;020000022;CPPR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;407;688;13;0;0;0;;0;;;;;;0;
PERINAT;2024;020000162;CH SAINT-QUENTIN;020000063;TYPE2;;;28;9;6;0;5;2018;144;340;29;296;13;0;0;1339;0;7596;1661;1668;0;4304;1560;6638;290;1513;8;1539;21;4;;1593;7167;7604;331;61;0;1;474;421;352;27;0;;5;0;0
PERINAT;2024;020000394;CH LAON;020000253;TYPE2;;;18;6;0;0;3;997;112;222;10;0;0;0;0;529;0;3622;1440;0;0;1969;689;3161;162;850;0;681;8;5;;704;11168;11125;;4;0;1;288;343;227;14;3;;2;0;0
PERINAT;2024;020000519;CH SOISSONS;020000261;TYPE2;;0;18;8;4;0;3;1258;152;235;12;79;5;0;0;757;0;4388;1726;739;0;2639;864;3851;199;1112;0;847;17;4;;881;8384;2378;;26;0;1;321;323;253;19;2;3;4;0;0
PERINAT;2024;020000535;CH CHAUNY;020000287;TYPE1;;0;16;;;;3;687;178;0;0;0;0;0;0;417;8;1781;0;0;0;1343;411;1567;93;411;0;409;4;7;0;424;8948;1646;257;26;0;1;273;204;190;18;0;;0;0;0
