BOR;AN;FI;RS;FI_EJ;INTMED;DOCJU_MED;INTPHA;DOCJU_PHA;INTODO;DOCJU_ODO;INTGEN;INTURG;DOCJU_URG;INT;DOCJU;FFI;dtSTAG
Q22;2024;010000024;CH DE FLEYRIAT;010780054;25;4;2;;0;;25;3;;55;4;12;7
Q22;2024;010000032;CH BUGEY SUD;010780062;;;;;;;1;;;1;;1;
Q22;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;3;;;3;;;
Q22;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;0;1;0;0;0;0;0;0;0;0;1;0;0
Q22;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;0;0;0;0;0;0;0;0;0;0;2;2
Q22;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;3;2;;;;;;;;3;2;1;
Q22;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;2;0;0;2;0;6;0
Q22;2024;020000089;CH GUISE;020000022;;;;;;;1;;;1;;;2
Q22;2024;020000162;CH SAINT-QUENTIN;020000063;32;11;3;1;0;;23;8;1;66;13;42;32
Q22;2024;020000394;CH LAON;020000253;;;1;;;;4;2;;7;;27;16
Q22;2024;020000519;CH SOISSONS;020000261;3;;;;;;5;;;8;;34;
Q22;2024;020000535;CH CHAUNY;020000287;;;;;;;5;;;5;;8;7
Q22;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;;;;;;;;;1;
Q22;2024;020001061;CH CHÂTEAU-THIERRY;020004404;;;;;;;2;;;2;;12;10
Q22;2024;020001087;CH HIRSON;020004495;;;;;;;1;;;1;;2;1
Q22;2024;020003877;SSR CH LAON;020000253;;;;;;;1;;;1;;2;2
Q22;2024;020004677;USLD CH SOISSONS;020000261;;;;;;;;;;;;1;
Q22;2024;020005476;USLD CH LAON;020000253;;;;;;;;;;;;1;1
Q22;2024;030000061;CH DE MOULINS;030780092;9;2;1;0;0;0;14;3;0;27;2;49;21
Q22;2024;030000079;CH DE MONTLUCON;030780100;13;2;1;;;;4;3;;21;2;56;28
Q22;2024;030000087;CH JACQUES LACARIN VICHY;030780118;24;7;2;;;;14;9;1;49;8;26;19
Q22;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;;;;;;4;4
Q22;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;;;;2;;;2;;;
Q22;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;;;;;;;;;1;;;
Q22;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;;;;;;;;;;;;4;1
Q22;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;0;0;0;0;0;0;1;0;0;1;0;0;0
Q22;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;0;0;0;0;0;0;21;0;0;21;0;0;0
Q22;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;;;;1;;;1;;4;
Q22;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;1;;;;4;;;5;;10;6
Q22;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;;;;;;10;;;11;;7;
Q22;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;;;;1;;;1;;;
Q22;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;7;3;;;;;27;;;34;3;17;
Q22;2024;050008630;HJ L'ESCALE BRIANCON;050000116;1;;;;;;;;;1;;;
Q22;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;4;4;2;0;0;0;28;0;0;34;4;4;0
Q22;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;12;3;;1;;;18;;;30;4;12;10
Q22;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;29;;;;;;;;;29;;6;
Q22;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;19;6;1;1;2;0;19;2;0;43;7;24;19
Q22;2024;060002102;CH LA PALMOSA DE MENTON;060791761;3;;;;;;;9;;12;;0;
Q22;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;4;3;;;;;;;;4;3;;
Q22;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;1;;;;;;;;;1;;;
Q22;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;;;;;;4;1
Q22;2024;060780996;CHS SAINTE MARIE;630786754;7;6;;;;;;;;7;6;;
Q22;2024;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;2;;;;;;1;;;3;;;
Q22;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;115;36;2;;;;10;16;5;143;41;28;5
Q22;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;8;3;;;;;5;;;13;3;6;1
Q22;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;68;20;;;;;17;;;85;20;16;6
Q22;2024;060789674;CENTRE HELIO MARIN;130037815;6;1;;;;;;;;6;1;;
Q22;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;7;;;7;;;
Q22;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;4;;;;;;;;;4;;;
Q22;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;1;1;;;;;;1;1;;
Q22;2024;060800174;FONDATION LENVAL;060800174;;;;;;;;;;;;2;2
Q22;2024;070000013;CH DE PRIVAS ARDECHE;070002878;;;;;;;4;3;;7;;1;6
Q22;2024;070000021;CH DE JOYEUSE;070007927;;;;;;;;;;;;4;
Q22;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;;;;;;;1;;;1;;;
Q22;2024;070000179;CH ARDECHE NORD;070780358;14;3;1;;;;1;9;;25;3;6;
Q22;2024;070000195;CH DE TOURNON SUR RHONE;070780374;;;;;;;2;;;2;;;
Q22;2024;070000484;CH ARDECHE MERIDIONALE -VALS LES BAINS;070005566;;;;;;;1;;;1;;1;
Q22;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;;;;;;;8;;;8;;2;7
Q22;2024;070006804;SSR L.ROUVEYROL CH ARDECHE MERIDIONALE;070005566;;;;;;;;;;;;1;1
Q22;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;;;;;;;5;;;5;;9;9
Q22;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;;;;;1;;;1;;1;
Q22;2024;080000250;CRF POUR ADULTES;540019726;1;;;;;;2;;;3;;3;
Q22;2024;080000318;CH BELAIR;080000086;3;1;;;;;;;;3;1;6;6
Q22;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;32;3;1;14;0;1;27;9;0;69;18;25;23
Q22;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;6;1;2;;;;5;8;;21;1;11;8
Q22;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;;;;;;;4;;;4;;;
Q22;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;33;9;1;1;0;0;12;5;3;51;13;76;55
Q22;2024;100000108;EPSMA;100000033;;;;;;;1;;;1;;2;
Q22;2024;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;;;;;;;1;;;1;;;
Q22;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;;;;;;;1;;;1;;1;
Q22;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;;;;;;;6;;;6;;4;
Q22;2024;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;0;0;0;0;0;0;1;0;0;1;0;0;0
Q22;2024;100010362;GCS PATCS CRRF COS PASTEUR 1;100010347;1;;;;;;;;;1;;;
Q22;2024;100011477;GCS PATCS CRRF COS PASTEUR 2;100010347;2;;;;;;;;;2;;;
Q22;2024;110000023;CH CARCASSONNE;110780061;16;;;;;;4;10;1;30;1;23;
Q22;2024;110000056;CH NARBONNE;110780137;2;1;3;;;;26;;;31;1;9;6
Q22;2024;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;110780707;;;;;;;;;;;;1;
Q22;2024;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;;;;;;;1;;;1;;2;
Q22;2024;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;2;;;;;;;;;2;;;
Q22;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;13;;1;;;;5;1;3;20;3;20;16
Q22;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;;;;;;;4;;;4;;1;
Q22;2024;120004569;CH MILLAU;120004528;;;;;;;4;;1;4;1;2;
Q22;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;;;;;;;;;;;;4;
Q22;2024;120780283;CHS STE MARIE RODEZ;630786754;1;;;;;;;;;1;;;
Q22;2024;130000235;CHS EDOUARD TOULOUSE;130780554;0;0;1;1;0;0;7;0;0;8;1;6;4
Q22;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;25;15;2;2;;;41;;;68;17;26;5
Q22;2024;130000433;CHS MONTPERRIN;130781131;8;;1;;;;1;;;10;;5;5
Q22;2024;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;;1;;;;;8;;;8;1;;
Q22;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;3;3;0;1;0;0;19;0;0;22;4;6;5
Q22;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;;1;2;;;;22;;;24;1;15;6
Q22;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;58;;3;;;;;;;61;;15;2
Q22;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;2;;;;;;4;6;;12;;2;2
