BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;112BA;;;;19;79;11565;;;;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;1210;;;;;10;;;;;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;121AX;;;;;5;;;;;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;121CX;;;;3;5;;;;;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;122AX;;;;1;;;;;0;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;122BX;;;;1;1;;;;;;
DIALYSE;2022;010000024;CH DE FLEYRIAT;010780054;TOT;0;;;;;;709;3;;59;4
DIALYSE;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1130X;;;;8;23;3237;;;;;
DIALYSE;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1140X;;;;0;0;15;;;;;
DIALYSE;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2022;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;1140X;;;;6;6;695;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;112AX;;;;1;8;192;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;112BA;;;;12;26;3283;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;1130X;;;;8;43;5799;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;1140X;;;;6;5;637;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;1150A;;;;1;1;239;;;;;
DIALYSE;2022;010780294;NEPHROCARE CH BELLEY;690000278;TOT;0;;;;;;0;;;27;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;112AX;;;;3;8;878;;;;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1130X;;;;16;53;8358;;;;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1140X;;;;6;11;1634;;;;;
