BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACT;ACTINT
IMAGES;2022;010000024;CH DE FLEYRIAT;010780054;IRM;3;3;1793;42;;8859;10694;0
IMAGES;2022;010000024;CH DE FLEYRIAT;010780054;RADIO;4;4;11494;163;;18744;30401;0
IMAGES;2022;010000024;CH DE FLEYRIAT;010780054;SCAN;2;2;7327;151;;8253;15731;1
IMAGES;2022;010000024;CH DE FLEYRIAT;010780054;VASC;1;1;310;;;9;319;1
IMAGES;2022;010000024;CH DE FLEYRIAT;010780054;dtIRM2;1;1;381;2;;2889;3272;
IMAGES;2022;010000032;CH BUGEY SUD;010780062;MAMM;1;1;;;;940;940;
IMAGES;2022;010000032;CH BUGEY SUD;010780062;RADIO;2;2;2303;0;0;15268;17571;1
IMAGES;2022;010000032;CH BUGEY SUD;010780062;SCAN;1;1;1611;0;0;10177;11788;1
IMAGES;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;RADIO;1;1;1518;;;24;1542;
IMAGES;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;RADIO;2;2;1568;;241;344;2153;
IMAGES;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;IRM;1;1;115;;;1131;1246;0
IMAGES;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;RADIO;3;3;2001;;;16904;18905;
IMAGES;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SCAN;1;1;1540;;;7671;9211;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;CAM;2;;;;;;;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;IRM;1;0;0;0;0;0;0;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;RADIO;2;0;0;0;0;0;0;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;SCAN;1;0;0;0;0;0;0;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;TOMO;1;0;0;0;0;0;0;0
IMAGES;2022;010780195;CLINIQUE CONVERT;010000156;VASC;1;1;72;0;0;0;72;0
IMAGES;2022;020000089;CH GUISE;020000022;RADIO;1;1;707;83;0;3817;4607;
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;IRM;1;1;1909;;7;3338;5254;0
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;LITHO;1;1;25;;;;25;0
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;MAMM;1;1;;;;1768;1768;
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;RADIO;5;5;14949;;;21700;36649;1
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;SCAN;2;2;10736;;125;9241;20102;1
IMAGES;2022;020000162;CH SAINT-QUENTIN;020000063;VASC;2;2;2874;;;;2874;1
IMAGES;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;RADIO;2;2;2086;;;;2086;0
IMAGES;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;RADIO;3;;;;;;;
IMAGES;2022;020000394;CH LAON;020000253;MAMM;1;1;;;;197;197;
IMAGES;2022;020000394;CH LAON;020000253;RADIO;4;4;5305;;;16150;21455;0
IMAGES;2022;020000394;CH LAON;020000253;SCAN;1;1;5691;;;7004;12695;0
IMAGES;2022;020000519;CH SOISSONS;020000261;IRM;2;2;283;;;6120;6403;0
IMAGES;2022;020000519;CH SOISSONS;020000261;MAMM;1;1;;;;959;959;
