BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2022;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;0;;0;1;292;336;252;2;2;0;0;1146;327;237;0;0;0;1710;447;231;2;47;136;908;97;215;594;314;374751;6956;367765;318033;222446;218830;92720;403;223;180;682;0;3;0;14598;1
SMURSAMU;2022;010000032;CH BUGEY SUD;010780062;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;403;19;;20;1;0;443;424;49;4;17;381;348;37;106;153;195;;;;;;;;;;;;;;;;
SMURSAMU;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;474;17;0;0;0;0;491;298;67;0;35;195;392;45;49;281;111;;;;;;;;;;;;;;;;
SMURSAMU;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;0;0;0;;0;0;168;168;168;1;1;;;666;;;;;;666;195;101;;14;;666;;;302;364;;;;;;;;;;;;;;;;
SMURSAMU;2022;020000162;CH SAINT-QUENTIN;020000063;1;1;0;0;0;;0;0;0;0;336;1;2;0;0;1113;54;355;9;113;0;1644;463;11;4;192;256;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;020000394;CH LAON;020000253;1;1;0;0;0;;0;1;336;336;336;3;2;1;0;775;493;2;75;335;0;1680;324;116;31;6;376;740;82;90;549;191;297442;52228;226014;172931;135228;98822;28025;248;168;80;360;0;0;0;1473;0
SMURSAMU;2022;020000519;CH SOISSONS;020000261;1;1;0;0;0;;0;0;168;168;168;0;3;0;0;724;1;0;0;0;0;725;286;116;2;36;132;570;42;130;536;34;;;;;;;;;;;;;;;;
SMURSAMU;2022;020000535;CH CHAUNY;020000287;1;1;0;0;0;;0;0;168;168;168;1;1;;;514;1;;;;;515;324;74;10;17;220;190;10;36;104;86;;;;;;;;;;;;;;;;
SMURSAMU;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;0;;0;0;168;168;129;1;1;;;583;120;;0;;;703;108;91;4;13;;482;44;96;404;78;;;;;;;;;;;;;;;;
SMURSAMU;2022;020001087;CH HIRSON;020004495;1;1;0;0;0;;0;0;336;168;168;;1;;;501;11;;;;;512;259;68;5;26;249;412;48;106;210;202;;;;;;;;;;;;;;;;
SMURSAMU;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;1;0;0;0;1;020000063;0;0;102;102;0;;1;;;195;;;;;;195;123;21;2;13;93;73;6;5;61;12;;;;;;;;;;;;;;;;
SMURSAMU;2022;030000061;CH DE MOULINS;030780092;1;1;0;0;0;;0;1;252;252;252;2;2;0;0;799;226;44;39;17;0;1125;340;99;10;79;152;414;57;125;349;65;306130;37785;261332;247311;178559;145562;48434;276;168;118;528;1;2;0;2434;0
SMURSAMU;2022;030000079;CH DE MONTLUCON;030780100;1;1;0;0;0;;0;0;336;336;223;2;2;0;;813;167;;6;3;;989;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;0;;0;0;336;336;336;2;2;;;1122;151;;113;8;;1394;558;160;;132;199;577;98;197;551;26;;;;;;;;;;;;;;;;
SMURSAMU;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;0;0;;0;0;238;168;168;1;2;0;0;571;88;;;;;659;125;24;2;20;73;424;38;76;251;173;;;;;;;;;;;;;;;;
SMURSAMU;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;1;0;0;0;;0;0;168;168;168;1;1;;;320;126;;;;;446;99;59;1;7;29;215;12;28;82;133;;;;;;;;;;;;;;;;
SMURSAMU;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;1;0;0;0;;0;1;168;168;168;1;2;0;0;360;43;0;299;19;0;721;37;35;0;2;0;622;0;0;472;150;175789;5243;165071;145495;71427;41497;13691;293;168;125;336;0;8;0;585;0
SMURSAMU;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;0;0;;0;0;;;;;1;;;185;20;;381;2;;588;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;0;0;0;;0;1;336;175;0;0;3;1;0;626;134;158;352;224;0;1494;101;111;6;30;107;630;62;76;492;138;91122;2505;87172;86308;50380;46706;15157;276;168;108;672;0;48;0;508;0
SMURSAMU;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;0;0;0;;0;0;168;168;0;;;;;752;149;;;;;901;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;0;0;;0;0;168;182;182;0;1;0;0;1237;88;0;0;0;0;1325;646;128;0;398;120;591;59;275;313;278;;;;;;;;;;;;;;;;
SMURSAMU;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;0;0;0;;0;0;168;168;168;;2;;;1139;92;;;;;1231;287;165;6;88;26;844;53;364;725;119;;;;;;;;;;;;;;;;
SMURSAMU;2022;060002102;CH LA PALMOSA DE MENTON;060791761;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;491;77;0;0;0;0;568;261;65;4;32;139;411;;;209;202;;;;;;;;;;;;;;;;
SMURSAMU;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;1;0;0;0;;0;1;574;574;574;4;4;1;0;2981;2299;0;173;97;0;5550;1319;336;11;271;694;2618;173;525;190;2428;599554;64350;463014;353841;401431;290401;90256;672;336;219;1062;0;17;0;8889;
SMURSAMU;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;0;1;0;;0;0;192;168;0;0;0;0;0;0;348;213;0;73;0;634;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
SMURSAMU;2022;070000013;CH DE PRIVAS ARDECHE;070002878;1;1;0;0;0;;0;1;168;168;168;;1;;;675;49;0;0;0;0;724;170;77;5;19;145;539;23;0;395;144;168264;8068;151231;143733;130622;124779;55927;360;168;192;420;0;66;0;2053;1
SMURSAMU;2022;070000179;CH ARDECHE NORD;070780358;1;1;0;0;0;;0;0;168;168;168;;2;;;658;8;;;;;666;;94;14;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;1;1;0;0;0;;0;0;168;168;168;1;2;;;884;158;;;;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;1;0;0;0;;0;0;168;50;168;1;1;0;0;682;2;;;;;684;117;77;4;19;0;575;55;130;455;120;;;;;;;;;;;;;;;;
SMURSAMU;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;1;0;0;0;;0;0;336;336;336;1;1;;;460;82;;;;;542;130;46;0;61;21;355;28;99;271;84;;;;;;;;;;;;;;;;
SMURSAMU;2022;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;;;281;79;42;;;;402;61;26;0;35;20;402;22;97;323;79;;;;;;;;;;;;;;;;
