BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;IVG1516;CONV;IMG;AMP;PAT_AMP
PERINAT;2022;010000024;CH DE FLEYRIAT;010780054;TYPE2;;1;35;9;6;;5;2500;286;229;21;111;11;0;0;1724;1;9481;2597;1162;0;5825;1897;8499;310;1996;10;1860;37;5;;1938;2892;3358;;92;0;1;517;516;332;35;18;;23;0;0
PERINAT;2022;010000032;CH BUGEY SUD;010780062;TYPE1;;0;8;0;0;0;2;496;64;0;0;0;0;0;0;359;8;1552;0;0;0;1240;361;1435;64;341;0;360;1;8;0;362;1849;2218;93;18;0;1;97;96;61;4;1;2;0;0;0
PERINAT;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;TYPE1;;;17;;;;3;847;120;0;0;0;0;0;0;614;7;2651;0;0;0;2173;619;2428;104;520;0;617;2;7;;622;3892;5641;2;19;0;1;126;102;114;2;0;;0;0;0
PERINAT;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;TYPE1;;;15;;;0;4;910;65;0;0;0;0;0;0;728;12;3089;0;0;0;2465;723;2818;176;841;0;722;1;10;;729;;;;23;0;0;0;2;0;0;0;;0;0;0
PERINAT;2022;020000162;CH SAINT-QUENTIN;020000063;TYPE2;;;28;9;6;;5;1963;131;359;42;361;14;0;0;1356;0;7203;1831;2205;0;4286;1551;6318;292;1496;13;1527;24;5;;1591;8266;2843;158;91;0;1;425;410;329;21;1;;6;0;0
PERINAT;2022;020000394;CH LAON;020000253;TYPE2;;;18;6;;;3;1149;105;204;12;0;0;0;0;640;0;4242;1337;0;0;2404;793;3744;181;1057;1;783;10;7;;809;4783;4542;;8;0;1;253;257;184;20;0;;4;0;0
PERINAT;2022;020000519;CH SOISSONS;020000261;TYPE2;;;18;8;4;;3;1347;135;251;11;87;16;0;0;803;0;4961;1782;548;0;2881;953;4336;168;947;1;946;7;4;;960;8854;2063;;22;0;1;269;292;240;18;0;;2;0;0
PERINAT;2022;020000535;CH CHAUNY;020000287;TYPE1;;;16;;;;3;688;55;0;0;0;0;0;0;524;10;2097;0;0;0;1547;516;1801;115;499;1;511;5;8;;527;6268;2299;369;81;0;1;243;195;151;18;1;;0;0;0
PERINAT;2022;020001061;CH CHÂTEAU-THIERRY;020004404;TYPE2;;0;15;6;;;3;1069;310;145;2;0;0;0;0;543;4;3045;770;0;0;1845;621;2656;160;861;0;611;10;2;;631;5125;2946;334;24;0;1;248;222;170;6;4;1;0;0;0
PERINAT;2022;020001087;CH HIRSON;020004495;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;227;1068;79;0;0;0;0;0;0;0;0;;0;0;0
PERINAT;2022;030000061;CH DE MOULINS;030780092;TYPE2;;0;20;6;0;0;4;1357;191;178;13;0;0;0;0;840;0;4964;1330;0;0;3090;964;4462;234;1364;1;950;14;4;0;989;8557;6224;247;28;0;1;212;234;143;10;1;1;4;0;0
PERINAT;2022;030000079;CH DE MONTLUCON;030780100;TYPE2;;;24;6;2;0;3;1367;237;141;15;34;3;0;0;828;0;4456;1290;162;0;2720;918;3903;161;871;6;904;14;12;12;941;141;1886;;21;0;1;245;280;191;8;3;;8;0;0
PERINAT;2022;030000087;CH JACQUES LACARIN VICHY;030780118;TYPE2;;0;18;6;;;3;1287;103;125;12;0;0;0;0;926;7;4582;1203;0;0;3278;1009;4173;188;931;0;1000;9;8;;1025;15923;2835;417;34;0;1;152;162;46;17;2;2;7;0;0
PERINAT;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;2;2;0;0;0;0;3;0;0
