BOR;AN;FI;RS;FI_EJ;INTMED;DOCJU_MED;INTPHA;DOCJU_PHA;INTODO;DOCJU_ODO;INTGEN;INTURG;DOCJU_URG;INT;DOCJU;FFI;dtSTAG
Q22;2022;010000024;CH DE FLEYRIAT;010780054;22;4;1;;;;21;3;3;47;7;9;3
Q22;2022;010000032;CH BUGEY SUD;010780062;;;;;;;5;;;5;;;
Q22;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;2;;;2;;1;
Q22;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;4;;;;;;;;;4;;2;
Q22;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;2;0;0;2;0;3;0
Q22;2022;020000089;CH GUISE;020000022;0;0;0;0;0;0;1;0;0;1;0;0;0
Q22;2022;020000162;CH SAINT-QUENTIN;020000063;38;;2;;;;17;5;11;62;11;41;32
Q22;2022;020000394;CH LAON;020000253;;;;;;;;1;1;1;1;24;9
Q22;2022;020000519;CH SOISSONS;020000261;;;1;;;;13;;1;14;1;29;8
Q22;2022;020000535;CH CHAUNY;020000287;;;;;;;8;;;8;;9;3
Q22;2022;020001061;CH CHÂTEAU-THIERRY;020004404;2;;;;;;2;;;4;;17;7
Q22;2022;030000061;CH DE MOULINS;030780092;15;3;;;;;11;1;2;27;5;29;5
Q22;2022;030000079;CH DE MONTLUCON;030780100;19;2;1;;0;;3;6;;29;2;34;17
Q22;2022;030000087;CH JACQUES LACARIN VICHY;030780118;19;6;1;0;0;0;18;3;0;41;6;22;10
Q22;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;;;1;;;;;;;1;;;
Q22;2022;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0;0;0;0;0;0;0;0;0;0;0;3;3
Q22;2022;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;;;;1;;;1;;;
Q22;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;;;;;;;;;1;;;
Q22;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;;;;;;;;;;;;4;3
Q22;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;0;0;0;0;0;0;15;0;0;15;0;0;0
Q22;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;;;;;;;;;2;
Q22;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;;;;;;;;;4;
Q22;2022;050000132;CH BUECH DURANCE;050007145;;1;;;;;2;;;2;1;3;
Q22;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;;;;;;;7;;;7;;3;
Q22;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;;;;2;;;2;;;
Q22;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;9;;1;;;;24;;;34;;5;
Q22;2022;060000296;LA MAISON DU MINEUR;060780640;;1;;;;;;;;;1;;
Q22;2022;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;1;;;1;;;
Q22;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;0;0;0;0;29;0;0;30;1;8;0
Q22;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;13;5;0;1;0;0;17;0;0;30;6;6;3
Q22;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;27;;;;;;;;;27;;;
Q22;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;23;4;1;1;1;0;18;3;1;46;6;4;4
Q22;2022;060002102;CH LA PALMOSA DE MENTON;060791761;3;;;;;;;3;;6;;3;
Q22;2022;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;2;3;;;;;;;;2;3;;
Q22;2022;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;060019551;1;;;;;;;;;1;;;
Q22;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;;1;;;;;;;;;1;;
Q22;2022;060780996;CHS SAINTE MARIE NICE;630786754;12;2;;;;;;;;12;2;;
Q22;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;120;33;4;;0;;15;;5;139;38;28;3
Q22;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;15;5;;;;;1;;0;16;5;5;2
Q22;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;63;10;1;0;0;0;12;;0;76;10;13;6
Q22;2022;060789674;CENTRE HELIO MARIN;130037815;3;1;;;;;;;;3;1;;
Q22;2022;060790862;C.A.L.M.E.;060001997;;;;;;;1;;;1;;;
Q22;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;5;;;5;;;
Q22;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;3;;;;;;;;;3;;;
Q22;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;1;;;;4;;;5;;;
Q22;2022;070000013;CH DE PRIVAS ARDECHE;070002878;;;;;;;;;;;;2;2
Q22;2022;070000021;CH DE JOYEUSE;070007927;;;;;;;;;;;;;1
Q22;2022;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;;;;;;;;;1;
Q22;2022;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;;;;;;;1;;;1;;;
Q22;2022;070000179;CH ARDECHE NORD;070780358;12;3;1;;;;3;8;;24;3;10;0
Q22;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;;;;;;;8;;;8;;1;1
Q22;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;0;0;0;0;0;0;5;0;0;5;0;1;1
Q22;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;;;;;5;;;5;;2;
Q22;2022;080000250;CRF POUR ADULTES;540019726;2;;;;;;;;;2;;;
Q22;2022;080000318;CH BELAIR;080000086;3;1;;;;;1;;;4;1;3;3
Q22;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;30;13;1;;0;;18;5;3;54;16;16;13
Q22;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;10;;1;;;;6;8;;25;;3;
Q22;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;;;;;;;3;;;3;;;
Q22;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;38;4;1;0;0;0;11;7;4;57;8;30;19
Q22;2022;100000108;EPSMA;100000033;3;2;;;;;;;;3;2;;
Q22;2022;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;0;0;0;0;0;0;1;0;0;1;0;0;0
Q22;2022;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;0;0;0;0;0;0;0;0;0;0;0;1;1
Q22;2022;100010362;GCS PATCS CRRF PASTEUR 1;100010347;1;;;;;;1;;;2;;;
Q22;2022;100011477;GCS PATCS CRRF COS PASTEUR 2;100010347;1;;;;;;1;;;2;;;
Q22;2022;110000023;CH CARCASSONNE;110780061;9;2;1;;;;15;2;1;27;3;17;
Q22;2022;110000056;CH NARBONNE;110780137;3;1;2;1;;;24;;;29;2;10;4
Q22;2022;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;2;;;;;;;;;2;;;
Q22;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;17;3;1;;0;;5;7;;30;3;18;5
Q22;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;;;;;;;2;;;2;;;
Q22;2022;120004569;CH MILLAU;120004528;4;;;;;;;;;4;;2;
Q22;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;;;;;;;;;;;;1;
Q22;2022;120780283;CHS STE MARIE RODEZ;630786754;2;;;;;;;;;2;;;
Q22;2022;130000235;CHS EDOUARD TOULOUSE;130780554;1;1;0;0;0;0;6;0;0;7;1;1;0
Q22;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;19;9;;1;;;25;;;44;10;12;10
Q22;2022;130000433;CHS MONTPERRIN;130781131;10;2;;;;;1;;;11;2;1;
Q22;2022;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;;;;;;;3;;;3;;1;
Q22;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;14;;3;;;;6;5;;28;;1;1
Q22;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;;4;2;;;;21;;;23;4;10;9
Q22;2022;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;130028228;1;;;;;;;;;1;;;
Q22;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;54;;1;;;;;;;55;;;
Q22;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;;;;;;3;7;;11;;;
Q22;2022;130002496;CHS VALVERT MARSEILLE;130786494;9;3;;;;;;;;9;3;;
Q22;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;;;;1;;;3;;;3;1;10;
Q22;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;14;1;;;;;1;6;;21;1;28;18
Q22;2022;130008048;CLINIQUE SAINT MARTIN SUD MARSEILLE;130043169;1;;;;;;;;;1;;;
Q22;2022;130008238;CLINIQUE LA PHOCEANNE SUD;130044118;;;;;;;1;;;1;;;
Q22;2022;130043664;HOPITAL EUROPEEN;130002157;4;1;1;2;;;;;;5;3;;
Q22;2022;130048341;HJ ST MARTIN SPORT MARSEILLE;130001852;;;;;;;2;;;2;;;
Q22;2022;130780083;CLINIQUE MADELEINE REMUZAT;130000060;;;;;;;1;;;1;;;
Q22;2022;130780521;APHM HOPITAL NORD;130786049;143;;18;2;;;37;;;198;2;22;
