BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2022;010000081;CH DU PAYS DE GEX;010780112;30;10189;9;6;;;;3;;;;;;;;;6;;;;;;0;0;0
USLD;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;30;8532;29;10;;;1;2;;;5;1;;;;;9;0;0;0;0;0;0;0;0
USLD;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;78;26078;50;49;;;16;1;2;;9;11;;;;;9;;;;;;;;
USLD;2022;010009702;USLD EMILE PELICAND;010780054;11;3514;10;6;;;;;1;;5;;;;;;3;;;;;;;;
USLD;2022;010789576;USLD;010780096;30;10161;37;29;;;2;1;;;13;2;;;;;19;;;;;;4;2;
USLD;2022;010789717;USLD CH D'OYONNAX;010008407;35;12488;22;20;;;;;;;;;;;;;;;;;;;;;
USLD;2022;020000089;CH GUISE;020000022;30;9030;13;11;0;0;0;1;0;0;5;1;0;0;0;0;6;0;0;5;0;0;1;0;0
USLD;2022;020000162;CH SAINT-QUENTIN;020000063;60;18322;32;26;0;;1;;1;;10;8;;;;;12;;;;;;3;0;2
USLD;2022;020000535;CH CHAUNY;020000287;44;7151;21;24;;;2;3;;;7;4;;;;;5;;;;;;1;;
USLD;2022;020004677;USLD CH SOISSONS;020000261;50;14939;31;27;;;7;;;1;17;1;;;;;4;0;0;9;0;0;0;0;0
USLD;2022;020005476;USLD CH LAON;020000253;41;9693;18;12;;;18;;;;;;;;;;;;;;;;;;
USLD;2022;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;30;5159;4;10;;;;;;;;3;;;;;1;;;;1;;2;;
USLD;2022;030000061;CH DE MOULINS;030780092;80;29178;32;27;0;0;13;0;0;0;4;2;1;0;0;0;12;0;0;0;4;0;2;0;0
USLD;2022;030000079;CH DE MONTLUCON;030780100;60;17574;21;27;;;11;;2;;6;1;;;;;1;;;;;;0;;
USLD;2022;030000087;CH JACQUES LACARIN VICHY;030780118;108;36562;83;72;;;20;2;5;;13;6;;;;;36;792;805;;550;;4;1;
USLD;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;40;14247;16;15;0;0;0;3;0;0;0;3;6;2;0;0;2;0;0;0;0;0;0;1;0
USLD;2022;040780405;CENTRE DES CARMES;040000168;41;11644;16;14;;;;6;;;3;2;;;;;5;;;;;;;;
USLD;2022;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;30;10571;18;14;;;;;;;;;;;;;;;;;;;;;
