BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;GARDED;ASTDED
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;M1140;1.5;;1;0;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;M2050;2;;1;0;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;MIVG;;5;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N2200;3.73;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N2340;12.42;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N2530;24.51;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N2700;1;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N2800;25.26;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;N280H;23.26;;;;;
PERINAT_P;2022;010000024;CH DE FLEYRIAT;010780054;NAUT;12.82;;;;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;M1140;0.1;;;1;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;M2050;0.79;;1;;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;MIVG;0.2;;;;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;N2530;4.73;;;;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;N2800;9.6;;;;;
PERINAT_P;2022;010000032;CH BUGEY SUD;010780062;NAUT;5.51;;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;1.9;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;3.19;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;0.25;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2340;0.02;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2530;13.78;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2700;0.2;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2800;14.53;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N280H;14.53;0;;;;
PERINAT_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;2.2;0;;;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;0.77;;0;1;;0
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;0.54;4;0;1;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;0.24;;0;1;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2530;11.73;;;;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2800;11.8;;;;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N280H;11.8;;;;;
PERINAT_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;1;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;M1030;1;;0;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;M1140;8;;1;0;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;M2050;7.76;;1;0;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;MIVG;0.2;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2200;18.06;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2340;16.29;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2530;14.45;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2700;1.7;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2800;1.42;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;N280H;1.42;;;;;
PERINAT_P;2022;020000162;CH SAINT-QUENTIN;020000063;NAUT;21.5;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;M1140;3.07;;1;0;;
PERINAT_P;2022;020000394;CH LAON;020000253;M2050;6.64;;1;0;;
PERINAT_P;2022;020000394;CH LAON;020000253;MIVG;6.64;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;N2200;12.98;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;N2530;9;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;N2700;0.18;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;N2800;18.99;;;;;
PERINAT_P;2022;020000394;CH LAON;020000253;NAUT;13.09;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;M1030;;;1;0;0;0
PERINAT_P;2022;020000519;CH SOISSONS;020000261;M1140;7.54;;1;1;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;M2050;7.7;;0;1;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;N2200;7.67;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;N2340;7;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;N2530;4.92;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;N2700;0.55;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;N2800;18.11;;;;;
PERINAT_P;2022;020000519;CH SOISSONS;020000261;NAUT;16.57;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;M1030;5.78;;1;0;0;0
PERINAT_P;2022;020000535;CH CHAUNY;020000287;M1140;1.65;;0;1;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;M2050;4.8;;0;1;;
