BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2022;010000024;CH DE FLEYRIAT;010780054;2000;162.05;;5.45;64.15;2.8;9
Q21;2022;010000024;CH DE FLEYRIAT;010780054;2100;157.37;;5.45;63.58;2.8;9
Q21;2022;010000024;CH DE FLEYRIAT;010780054;2300;1.63;;;0.16;;
Q21;2022;010000024;CH DE FLEYRIAT;010780054;2400;1.3;;;0.25;;
Q21;2022;010000024;CH DE FLEYRIAT;010780054;2500;1.75;;;0.16;;
Q21;2022;010000024;CH DE FLEYRIAT;010780054;9999;162.05;;5.45;64.15;2.8;9
Q21;2022;010000032;CH BUGEY SUD;010780062;2000;30.77;;;4.5;;
Q21;2022;010000032;CH BUGEY SUD;010780062;2100;27.72;;;4.5;;
Q21;2022;010000032;CH BUGEY SUD;010780062;2400;3.05;;;;;
Q21;2022;010000032;CH BUGEY SUD;010780062;9999;30.77;;;4.5;;
Q21;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;1000;0.23;;;;;
Q21;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2000;15.68;;;2;;
Q21;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2100;10.3;;;2;;
Q21;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2400;5.38;;;;;
Q21;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;9999;15.91;;;2;;
Q21;2022;010000081;CH DU PAYS DE GEX;010780112;2000;1.93;;;;;
Q21;2022;010000081;CH DU PAYS DE GEX;010780112;2400;0.91;;;;;
Q21;2022;010000081;CH DU PAYS DE GEX;010780112;2500;1.02;;;;;
Q21;2022;010000081;CH DU PAYS DE GEX;010780112;9999;1.93;;;;;
Q21;2022;010000099;CH DE MEXIMIEUX;010780120;1000;0.1;;;;;
Q21;2022;010000099;CH DE MEXIMIEUX;010780120;2000;3.14;;;;;0
Q21;2022;010000099;CH DE MEXIMIEUX;010780120;2100;1.06;;;;;0
Q21;2022;010000099;CH DE MEXIMIEUX;010780120;2400;2.08;;;;;0
Q21;2022;010000099;CH DE MEXIMIEUX;010780120;9999;3.24;;;;;0
Q21;2022;010000107;CH DE PONT DE VAUX;010780138;2000;3.08;;;;;
Q21;2022;010000107;CH DE PONT DE VAUX;010780138;2100;1.32;;;;;
Q21;2022;010000107;CH DE PONT DE VAUX;010780138;2400;1.76;;;;;
Q21;2022;010000107;CH DE PONT DE VAUX;010780138;9999;3.08;;;;;
