BOR;AN;FI;RS;FI_EJ;UNI;LIT;LIT_PROXI;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2022;010000024;CH DE FLEYRIAT;010780054;REAADU;12;;4380;697;714;50;3555;21;31;79;2.44;;2.2;;27.31;;17.55;;;;1.57;
REA;2022;010000024;CH DE FLEYRIAT;010780054;SITOT;6;;2190;545;;;1719;;;;;;;;;;;;;;;
REA;2022;010000024;CH DE FLEYRIAT;010780054;SIUNV;6;;2190;545;;;1719;;;;1.59;;;;;;;;;;;
REA;2022;010000024;CH DE FLEYRIAT;010780054;SURVADU;6;6;2190;363;;;1012;;;;1.2;;;;9.13;;7.51;;;;;
REA;2022;010000024;CH DE FLEYRIAT;010780054;SURVENF;4;;1460;328;;;1387;;;;0.7;;;;;;;;;;;
REA;2022;010000032;CH BUGEY SUD;010780062;SURVADU;4;0;1460;1004;;;1896;;;;0.6;;0.13;;4.07;;4.43;;;;;
REA;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SURVADU;3;;1095;479;;;806;;;;0;0;0;0;6.28;0;5.17;0;0;0;0.09;0
REA;2022;010780195;CLINIQUE CONVERT;010000156;REAADU;10;;3650;701;734;23;3379;13;31;223;0;11;0;0;20.31;0;9.8;0;0;0;0.96;0
REA;2022;010780195;CLINIQUE CONVERT;010000156;SITOT;8;0;2920;1198;;;1911;;;;;;;;;;;;;;;
REA;2022;010780195;CLINIQUE CONVERT;010000156;SURVADU;5;5;1825;3;;;4;;;;0;11;0;0;0;0;0;0;0;0;0;0
REA;2022;010780195;CLINIQUE CONVERT;010000156;USIC;8;0;2920;1198;;;1911;;;;0;11;0;0;8.29;0;4.53;0;0;0;1;0
REA;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;SURVADU;6;;2190;95;;;616;;;;5;;;;0.1;;0.1;;;;;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;AUTSI;0;;0;17;;;123;;;;;;;;;;;;;;;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;REAADU;10;;3650;335;343;15;3803;19;48;29;6.98;;1.2;;28.01;;23.9;;;;5.78;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;SITOT;18;;6570;1648;;;5368;;;;;;;;;;;;;;;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;SIUNV;6;;2190;527;;;1438;;;;;;;;5.85;;3.6;;;;;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;SURVADU;6;;2190;245;;;1764;;;;;;;;;;;;;;;
REA;2022;020000162;CH SAINT-QUENTIN;020000063;USIC;12;;4380;1104;;;3807;;;;3;;0.13;;19.76;;9.58;;;;4.3;
REA;2022;020000394;CH LAON;020000253;REAADU;8;;2920;260;264;8;2883;8;38;25;2.49;;0.7;;19.66;;11.46;;;;0.7;
REA;2022;020000394;CH LAON;020000253;SITOT;6;0;2178;506;;;1386;;;;;;;;;;;;;;;
REA;2022;020000394;CH LAON;020000253;SURVADU;4;4;1318;80;;;358;;;;2.49;;0.3;;3.21;;3;;;;0.8;
REA;2022;020000394;CH LAON;020000253;USIC;6;0;2178;506;;;1386;;;;2.45;;;;7.5;;2.74;;;;0.6;
REA;2022;020000519;CH SOISSONS;020000261;REAADU;8;;2920;205;209;11;2405;15;42;23;7.29;;;;21.07;;18.38;;0.2;;1.97;
REA;2022;020000519;CH SOISSONS;020000261;SITOT;12;;4380;1053;;;2603;;;;;;;;;;;;;;;
REA;2022;020000519;CH SOISSONS;020000261;SIUNV;6;;2190;512;;;1318;;;;;;0.5;;7.07;;4.03;;;;;
REA;2022;020000519;CH SOISSONS;020000261;SURVADU;4;;1332;159;;;933;;;;7.29;;;;;;;;;;;
REA;2022;020000519;CH SOISSONS;020000261;USIC;6;;2190;541;;;1285;;;;;;;;8.31;;3.98;;;;2.72;
REA;2022;020000535;CH CHAUNY;020000287;SITOT;6;;2190;495;;;2098;;;;;;;;;;;;;;;
REA;2022;020000535;CH CHAUNY;020000287;SURVADU;3;;1095;92;;;717;;;;0.9;;0.55;;3.64;;3.61;;;;1.61;
REA;2022;020000535;CH CHAUNY;020000287;USIC;6;;2190;495;;;2098;;;;0.95;;1.1;;7.03;;7.21;;;;3.24;
REA;2022;020001061;CH CHÂTEAU-THIERRY;020004404;REAADU;9;;3285;331;345;8;2875;10;38;81;4.05;;0.38;;21.59;;15.93;;;;0.55;
REA;2022;020001061;CH CHÂTEAU-THIERRY;020004404;SITOT;3;;1095;185;;;655;;;;;;;;;;;;;;;
REA;2022;020001061;CH CHÂTEAU-THIERRY;020004404;SURVADU;3;;1095;258;;;1180;;;;1.31;;;;3;;4.01;;;;0.2;
REA;2022;020001061;CH CHÂTEAU-THIERRY;020004404;USIC;3;;1095;185;;;655;;;;0.62;;;;1.93;;3.99;;;;0.2;
REA;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;AUTSI;4;;1460;435;;;2554;;;;0;7;;;;;;;;;;
REA;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SITOT;4;;1460;435;;;2554;;;;;;;;;;;;;;;
REA;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SURVADU;12;;4380;128;;;1058;;;;0;7;;;;;;;;;;
REA;2022;030000061;CH DE MOULINS;030780092;REAADU;8;;3010;321;338;14;2426;4;45;73;5.41;;;;17.87;;13.4;;;;2;
REA;2022;030000061;CH DE MOULINS;030780092;SITOT;4;0;2494;501;;;1346;;;;;;;;;;;;;;;
REA;2022;030000061;CH DE MOULINS;030780092;SURVADU;4;0;942;146;;;613;;;;1.69;;;;5.58;;4.47;;;;1;
REA;2022;030000061;CH DE MOULINS;030780092;USIC;4;;2494;501;;;1346;;;;0.79;;0.5;;10;;8.79;;;;0.52;
REA;2022;030000079;CH DE MONTLUCON;030780100;REAADU;8;;2920;344;345;20;2707;9;45;54;4.3;;;;24.23;;15.88;;;;0.1;
REA;2022;030000079;CH DE MONTLUCON;030780100;SITOT;10;;3650;1101;;;3501;;;;;;;;;;;;;;;
REA;2022;030000079;CH DE MONTLUCON;030780100;SIUNV;4;;1460;351;;;1028;;;;0.5;;;;1.6;;1.41;;;;0.78;
REA;2022;030000079;CH DE MONTLUCON;030780100;SURVADU;4;;1460;21;;;67;;;;0.1;;;;0.6;;0.4;;;;;
REA;2022;030000079;CH DE MONTLUCON;030780100;SURVENF;2;;730;167;;;261;;;;0.25;;0.2;;0.62;;1.2;;;;0.4;
REA;2022;030000079;CH DE MONTLUCON;030780100;USIC;6;;2190;750;;;2473;;;;1.25;;;;5.14;;4.34;;;;;
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;REAADU;8;;2966;414;417;33;1987;5;45;65;7.45;;0;0;17.11;0;10.39;0;0;0;2.02;0
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;SITOT;8;;2828;825;;;1647;;;;;;;;;;;;;;;
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;SIUNV;1;;342;64;;;177;;;;1;;0;0;3.99;0;6.6;0;0;0;2.88;0
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;SURVADU;2;;696;131;;;391;;;;;;0;0;4;0;3.21;0;0;0;0.03;0
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;SURVENF;4;;1460;277;;;843;;;;1.03;;0;0;0;0;0;0;0;0;0;0
REA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;USIC;7;;2486;761;;;1470;;;;2.8;;0;0;9;0;7.46;0;0;0;1.48;0
REA;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SURVADU;10;0;3650;1368;;;7808;;;;0;9;0;;10.8;;10;;;;;
REA;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;SURVADU;8;0;2920;485;;;2104;;;;1.88;0;0.9;0;12.23;0;10.96;0;0;0;4.38;0
REA;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;REAADU;6;;2190;126;127;5;1652;3;61;19;3.65;;0.71;;14.25;;7.16;;0.49;;1.34;
REA;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;SURVADU;2;;730;105;;;473;;;;1.22;;0.24;;4.75;;2.39;;0.16;;0.45;
REA;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;SURVADU;5;;1825;26;;;102;;;;;8;;;4;;4;;;;;
REA;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;REAADU;8;;3616;278;281;13;2106;9;47;31;4.44;;0.57;;19.76;;17.35;;;;1.51;
REA;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SURVADU;8;;2344;801;;;3687;;;;1.25;;0.5;;11.35;;6.72;;;;1;
REA;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;REAADU;8;;2920;330;337;16;2462;7;43;51;7.24;0;0;0;23.03;0;15.99;0;0.33;0;5.04;0
REA;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SURVADU;4;;1460;252;;;955;;;;0.15;0;;0;0.75;0;0.67;0;0;0;0.33;0
REA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;AUTSI;0;0;0;127;;;925;;;;2;;;;;;;;;;;
REA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;REAADU;10;;3340;360;369;20;2784;3;41;45;7.3;;1;;31.63;;17.21;;;;4.99;
REA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SITOT;6;6;2190;708;;;2713;;;;;;;;;;;;;;;
REA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SURVADU;9;5;3285;495;;;2413;;;;7.3;;;;6;;6.6;;;;2.58;
REA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;USIC;6;6;2190;581;;;1788;;;;2;;;;2;;;;;;;
REA;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;AUTSI;10;0;3650;283;;;3413;;;;1.14;;0.36;;9.52;;7.93;;;;0.47;
REA;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SITOT;10;0;3650;283;;;3413;;;;;;;;;;;;;;;
REA;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SURVADU;7;0;2555;259;;;2475;;;;1.1;;0.5;;15.04;;8.95;;;;0.18;
REA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;REAADU;8;;2920;420;432;31;2235;5;49;69;6.57;;;;19.78;;13.34;;0.6;;3.2;
REA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;SITOT;12;;4380;1264;;;3080;;;;;;;;;;;;;;;
REA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;SIUNV;4;;1460;252;;;996;;;;1.39;;;;8;;1.62;;;;0.75;
REA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;SURVADU;4;;1460;206;;;556;;;;0.63;;;;5;;3.45;;;;0.95;
REA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;USIC;8;;2920;1012;;;2084;;;;1.91;;;;5.92;;7.43;;;;0.6;
REA;2022;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;SURVADU;1;;365;13;;;28;;;;0.05;;;;;;;;;;;
REA;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;SURVADU;6;0;2190;127;;;638;;;;0;9;;;4.8;;4.8;;;;0.1;
REA;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;REAADU;8;;2920;436;442;16;2389;8;37;104;;12;0.7;;16.6;;7.9;;;5;;
REA;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;SURVADU;32;;11680;2151;;;9456;;;;;;0.76;;10.06;;9.51;;;;6.01;
REA;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;SURVADU;45;0;16425;852;;;5014;;;;;10;2;;24.63;;11.97;;;;;
REA;2022;060780715;CLINIQUE SAINT GEORGE;060000361;SITOT;6;;2190;1091;;;1623;;;;;;;;;;;;;;;
REA;2022;060780715;CLINIQUE SAINT GEORGE;060000361;SURVADU;43;;15695;2376;;;10751;;;;;29;;17;;;6.5;;;;8;
REA;2022;060780715;CLINIQUE SAINT GEORGE;060000361;USIC;6;;2190;1091;;;1623;;;;;19;1;;4.8;;4.8;;;1;2;
REA;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SURVADU;8;;2920;432;;;1826;;;;2;14;;;5.29;;5.3;;;;;
REA;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;SURVADU;3;;1095;78;;;145;;;;5;;;;;;;;;;;
REA;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;REAENF;5;;1825;353;365;29;1684;18;;;2;;4.39;;5.63;;7.76;;;;4.08;
REA;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;SURVENF;6;;2190;637;;;4259;;;;1;;7.79;;9.55;;5.34;;;;0.99;
REA;2022;060781200;CLINIQUE SAINT ANTOINE;060000635;SURVADU;9;0;3285;313;;;2562;;;;;6;;;4.5;;4.5;;;4;2;
