BOR;AN;FI;RS;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFLIB_PM;EFFLIB_GER;ETPSAL_PM;ETPSAL_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFLIB_INF;EFFLIB_AID;EFFLIB_ERG;EFFLIB_PMT;EFFLIB_APNM;ETPSAL_INF;ETPSAL_AID;ETPSAL_ERG;ETPSAL_PMT;ETPSAL_APNM
MCOGER;2022;010000024;CH DE FLEYRIAT;010780054;1;197;72;409;4.75;1;22;0;734;0;7757;;;2.94;;0;;0;;;;;;;9.76;12.89;0;0;2.73
MCOGER;2022;010000099;CH DE MEXIMIEUX;010780120;0;;;;;1;10;0;170;0;2670;;;0.76;0.2;0;0;1;1;;;;;4;2.57;7.47;0;0;2.9
MCOGER;2022;010000107;CH DE PONT DE VAUX;010780138;0;;;;;1;15;0;177;0;2259;;;1.32;1.32;0;0;0;0;;;;;;;;;;
MCOGER;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;;1;5;;73;0;1157;;;0.74;0.2;;;;;;;;;;5.32;7.15;;;
MCOGER;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;1;15;0;646;0;4479;0;0;0;0;0;0;;;0;0;0;0;0;4.87;9.94;0;0;1.58
MCOGER;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;1;26;;551;0;7637;;;2.21;2.21;;;0;0;;;;;;8.1;7.2;;;
MCOGER;2022;020000097;CH LA FÈRE;020000048;0;;;;;1;30;;515;0;8282;;;1.5;;;;;;;;;;;15.36;28.8;;;6.53
MCOGER;2022;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0;;;;;1;14;0;244;0;2546;;;0.8;;;;1;;;;;;4;6.32;8.64;0;0;3.01
MCOGER;2022;020000162;CH SAINT-QUENTIN;020000063;1;206;0;174;0.5;1;50;1;2287;231;17620;;;8.63;;0;0;0;0;;;;;;21.48;21.81;;;1.89
MCOGER;2022;020000394;CH LAON;020000253;1;;;;0.72;1;25;0;656;0;8981;0;0;3.82;1.99;0;0;0;0;;;;;;8.64;10.01;;;2.3
MCOGER;2022;020000519;CH SOISSONS;020000261;1;118;0;109;0.5;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;020000535;CH CHAUNY;020000287;1;455;0;410;0.1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;113;0;111;0.2;1;21;;919;0;9910;;;3.22;3.22;0;0;0;0;;;;;;9.83;11.57;;;0.25
MCOGER;2022;030000061;CH DE MOULINS;030780092;1;629;0;494;2.41;1;24;1;418;3;6425;0;0;1.59;1.59;1;1;;;0;0;0;0;0;10.62;14.34;0;0;2.57
MCOGER;2022;030000079;CH DE MONTLUCON;030780100;1;114;;114;0.6;1;27;0;835;0;11534;;;3.66;3.66;0;0;1;1;;;;;;10.09;11.71;;;3.99
MCOGER;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;805;6;599;3.8;1;27;2;608;135;10346;0;0;3.83;3;0;0;0;0;0;0;0;0;0;11.46;11.87;0;0;6.08
MCOGER;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;149;453;286;1.79;1;24;2;605;16;8302;;;3.83;2.56;0;0;1;1;;;;;;8.45;7.7;;;2.57
MCOGER;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;304;164;125;1.2;1;6;0;152;0;1861;;;1.4;1.4;0;0;0;0;;;;;;4.07;4.9;;;2.9
MCOGER;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;2393;57;2045;2.72;1;30;;719;0;9342;;;4.71;4.01;;;;;;;;;;20.59;12.74;0.1;;11.41
MCOGER;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;447;208;440;3.9;1;32;;1074;0;11290;0;0;4.72;4.72;;;;;0;0;0;0;0;14.4;17.96;0;0;5.69
MCOGER;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;174;6;180;1.7;1;31;0;997;0;11346;;;0.5;0.5;0;;0;;;;;;;12.02;18.18;1.5;;9
MCOGER;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;945;98;963;2.25;1;16;;504;0;5706;;;3.2;3.2;0;;0;;;;;;;7.14;10.3;;;4.59
MCOGER;2022;060002102;CH LA PALMOSA DE MENTON;060791761;1;123;0;123;1.62;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;389;0;97;2.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;060780715;CLINIQUE SAINT GEORGE;060000361;1;83;;;0.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;0;;;;;1;28;0;912;0;9326;;;2.1;0.1;0;0;0;0;;;;;;14.15;16.09;;;7.17
MCOGER;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;1;;;;;1;50;2;1747;1030;17734;;;11.77;5.11;0;0;1;1;;;;;;18.49;30.58;0.4;;13.25
MCOGER;2022;070000013;CH DE PRIVAS ARDECHE;070002878;1;;;;0.6;1;28;0;735;0;9572;;;2.92;2.92;;;;;;;;;;11.68;;;;
MCOGER;2022;070000179;CH ARDECHE NORD;070780358;1;195;336;291;3.7;1;20;;243;0;3017;;;12.28;0.6;0;0;1;1;;;;;;11.88;18.91;;;
MCOGER;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;1;332;101;513;5.75;1;8;0;480;0;5827;;;1.71;1.01;;;;;;;;;;9.25;10.76;;;2.39
MCOGER;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;0;;;;;1;30;;635;90;8810;;;3.1;3;0;0;1;1;;;;;;9.41;13.41;;;4.19
MCOGER;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;233;31;251;3.58;1;29;3;528;458;10205;;;3.8;2.8;0;0;0;0;;;;;;12.81;18.08;;;2.05
MCOGER;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;156;285;357;3.43;1;18;0;485;44;7358;;;1.6;1.6;0;0;1;1;;;;;;11.74;11.31;;;0.64
MCOGER;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;318;74;294;2.82;1;10;;150;0;1661;;;13;;;;;;;;;;;30;32.3;0.26;0.31;32.31
MCOGER;2022;090001629;CHIVA SITE LAVELANET;090781774;0;;;;;1;23;0;481;0;7210;;;3.8;1;0;0;1;1;;;;;;8.4;15.05;;;2.23
