BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2022;010000032;CH BUGEY SUD;010780062;SSR_A;;40;14600;8;465;13652;13;1771;
SSR;2022;010000032;CH BUGEY SUD;010780062;SSR_A50;1;40;;8;;13652;;1771;
SSR;2022;010000032;CH BUGEY SUD;010780062;SSR_TOT;;40;14600;8;465;13652;13;1771;0
SSR;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A;;80;25116;;696;23134;61;0;
SSR;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A50;1;50;;;;13259;;0;
SSR;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A59;1;30;;;;9875;;0;
SSR;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_TOT;;80;25116;;696;23134;61;0;0
SSR;2022;010000081;CH DU PAYS DE GEX;010780112;SSR_A;;20;7300;;121;6188;23;0;
SSR;2022;010000081;CH DU PAYS DE GEX;010780112;SSR_A50;1;20;;;;6188;;0;
SSR;2022;010000081;CH DU PAYS DE GEX;010780112;SSR_TOT;;20;7300;;121;6188;23;0;0
SSR;2022;010000099;CH DE MEXIMIEUX;010780120;SSR_A;;20;7300;;261;6438;4;0;
SSR;2022;010000099;CH DE MEXIMIEUX;010780120;SSR_A50;1;20;;;;6438;;0;
SSR;2022;010000099;CH DE MEXIMIEUX;010780120;SSR_TOT;;20;7300;;261;6438;4;0;0
SSR;2022;010000107;CH DE PONT DE VAUX;010780138;SSR_A;;20;7300;;263;7596;6;0;
SSR;2022;010000107;CH DE PONT DE VAUX;010780138;SSR_A50;1;20;;;;7596;;0;
SSR;2022;010000107;CH DE PONT DE VAUX;010780138;SSR_TOT;;20;7300;;263;7596;6;0;0
SSR;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A;;18;6570;;106;4022;4;0;
SSR;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A50;1;18;;;;4022;;0;
SSR;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_TOT;;18;6570;;106;4022;4;0;0
SSR;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A;;29;10585;;257;6733;0;0;
SSR;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A50;1;29;;;;6733;;0;
SSR;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_TOT;;29;10585;;257;6733;0;0;0
SSR;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A;;36;13140;;501;9619;0;0;
SSR;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A58;1;36;;;;9619;;0;
SSR;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_TOT;;36;13140;;501;9619;0;0;1
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A;;65;23725;;949;18937;3;0;
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A50;1;;;;;0;;0;
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A51;1;65;;;;18937;;0;
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E;;4;1460;;69;912;0;0;
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E51;1;4;;;;912;;0;
SSR;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_TOT;;69;25185;;1018;19849;3;0;
SSR;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A;;91;33215;;826;28008;48;0;
SSR;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A50;1;4;;;;784;;0;
SSR;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A51;1;20;;;;6460;;0;
