BOR;AN;FI;RS;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2020;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;24;593;25;4336;;0;0;0;0;1;1;49;0;897;99;17
BRULES;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;;586;561;1977;;0;0;0;0;0;1;182;4;649;0;76
BRULES;2020;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;9;72;4;1835;6;109;6;1052;1;0;0;780;0;260;115;8
BRULES;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;16;260;43;4639;4;35;9;105;1;;;;11;2714;171;40
BRULES;2020;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;9;35;2;323;3;616;11;2402;1;1;1;;3;2622;103;2
BRULES;2020;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;12;328;9;3204;;0;0;0;1;1;1;1862;0;1397;137;6
BRULES;2020;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;6;93;0;1571;17;710;231;4322;1;1;0;1817;31;;261;78
BRULES;2020;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;;0;0;0;1;159;159;1079;0;1;1;;0;;0;144
BRULES;2020;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;11;44;0;1159;0;0;0;0;1;0;1;2466;0;917;33;0
BRULES;2020;590796975;HOP SALENGRO - HOPITAL B CHR LILLE;590780193;12;223;20;3285;4;1661;305;0;1;1;1;914;258;4938;373;80
BRULES;2020;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;10;402;170;6327;20;366;37;2866;1;1;0;1575;0;6202;301;166
BRULES;2020;750100075;HU SAINT LOUIS SITE SAINT LOUIS APHP;750712184;15;183;2;4480;5;100;1;819;1;1;1;3370;0;;122;2
BRULES;2020;750100109;HU EST PARISIEN SITE TROUSSEAU APHP;750712184;10;281;280;3425;16;916;913;4618;1;1;1;610;23;3316;0;624
BRULES;2020;830100574;HIA SAINTE ANNE;750821092;6;22;1;433;6;233;2;1964;1;0;1;482;0;540;42;1
BRULES;2020;920120011;HIA PERCY;750821092;12;209;5;3756;;0;0;0;1;0;0;638;0;879;93;4
BRULES;2020;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;;21;0;249;;0;0;0;;;;;0;;17;0
BRULES;2020;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;10;31;1;864;4;203;94;85;1;1;1;168;22;684;41;11
