BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2020;010000081;CH DU PAYS DE GEX;010780112;30;9775;17;20;;;;;;;;;;;;;;;;;;;;;
USLD;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;30;10980;44;16;0;0;6;0;0;18;10;0;0;1;0;0;4;0;0;8;0;0;5;0;0
USLD;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;94;30017;72;46;;;13;7;4;;42;3;;;1;;2;;;;;;;;
USLD;2020;010009702;USLD EMILE PELICAND;010780054;11;3781;4;2;;;;;;;4;;;;;;;;;;;;;;
USLD;2020;010786259;USLD CH DE NANTUA;010008407;0;1736;0;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;010789576;USLD;010780096;30;10263;35;24;;;3;2;;;19;;;;;;11;;;;;;9;6;
USLD;2020;010789717;USLD CH D'OYONNAX;010008407;35;10110;40;10;;;;;;;;;;;;;;;;;;;;;
USLD;2020;020000089;CH GUISE;020000022;30;10443;10;10;0;0;2;3;0;0;3;;0;1;0;0;1;;;;;;;;
USLD;2020;020000162;CH SAINT-QUENTIN;020000063;60;19251;43;38;0;0;3;4;0;0;17;4;0;0;0;0;15;15;0;0;1;0;3;0;4
USLD;2020;020000535;CH CHAUNY;020000287;44;12411;16;17;;;2;2;;;4;0;;;;;;;;;;;2;;1
USLD;2020;020004677;USLD CH SOISSONS;020000261;50;15403;30;34;;;;;;;;;;;;;;;;;;;;;
USLD;2020;020005476;USLD CH LAON;020000253;41;8765;25;28;;;22;;;;;;;;;;3;;;;;;1;;
USLD;2020;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;30;9058;10;17;;;;;;1;;1;;;;;8;;;;14;;1;;
USLD;2020;030000061;CH DE MOULINS;030780092;80;29313;46;33;0;0;8;0;1;0;13;2;1;0;0;0;21;0;0;3;2;0;17;1;0
USLD;2020;030000079;CH DE MONTLUCON;030780100;60;19760;21;18;;;12;;;;3;1;;;;;5;;61;;3;;;;
USLD;2020;030000087;CH JACQUES LACARIN VICHY;030780118;115;41192;67;49;2;;11;;9;;34;2;0;;0;;3;581;726;;575;;0;2;6
USLD;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;40;15551;5;3;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
USLD;2020;040780405;CENTRE DES CARMES;040000168;41;11663;12;14;;;;;;;1;4;;;5;;2;;;;;;4;2;3
USLD;2020;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;30;9208;11;20;0;;0;;0;;0;9;0;;0;;2;0;0;2;3;0;5;0;0
USLD;2020;050000132;CH BUECH DURANCE;050007145;25;8555;10;11;;;;;;;;;;;;;;;;;;;;;
USLD;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;30;9970;19;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;30;7198;6;15;;;;;1;;6;;;;;;;;;;;;;;
USLD;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;50;18124;30;9;;;;2;16;;;;;;8;3;;;;;;;8;;
USLD;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;30;10209;18;17;;;1;1;1;;12;2;;;;;;;;;;;;;
USLD;2020;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;41;13424;57;24;;;14;14;;;1;;1;;;;20;;;;;;31;;
USLD;2020;060002102;CH LA PALMOSA DE MENTON;060791761;30;10779;17;20;;;;;;;;;;;;;;;;;;;1;1;
USLD;2020;060019213;USLD DOLCE FARNIENTE;060005188;60;17090;76;40;;0;;21;;0;;18;;0;;0;37;0;0;1;0;0;4;14;0
USLD;2020;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;20;6430;12;7;0;;3;;0;;4;;0;;0;;3;0;0;0;8;0;1;0;0
USLD;2020;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;61;12001;46;;;;;;2;;14;;;;;;12;89;;;;;23;;
USLD;2020;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;40;13938;15;6;;;;;;;8;;;;;;7;;;;;;2;;
USLD;2020;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;75;25216;32;36;;;;;7;6;9;1;;;;9;;;;;;;3;;
