BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2020;010000024;CH DE FLEYRIAT;010780054;271;92116;12022;696;78710;68;19767;3503;205;16131;51;17202;3665;811;11593;390;129085;19190;1712;106434;14;1848;;;40071;20;3343;0;0;;;34;5191;;;40071;1;1;1;1;1;1;1;1;1;;;65;;86596;5893;59800;1528;10179;11498
MCO;2020;010000032;CH DE BELLEY;010780062;66;24156;3476;524;18668;17;6222;855;53;3979;10;3660;541;112;1594;93;34038;4872;689;24241;4;98;;;1000;5;984;;0;;;9;1082;;;1000;1;0;1;1;1;1;1;1;0;102;85;25;;15411;1081;16953;0;1800;4453
MCO;2020;010000065;CH DE TREVOUX - MONTPENSIER;010780096;59;21535;2005;12;17885;;;0;0;0;;;0;0;0;59;21535;2005;12;17885;;0;;;1;;0;;0;;;;0;;;1;;;1;;;;1;;;;;;;;;;;;
MCO;2020;010000099;CH DE MEXIMIEUX;010780120;9;3294;155;1;2414;;;0;0;0;;;0;0;0;9;3294;155;1;2414;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2020;010000107;CH DE PONT DE VAUX;010780138;15;5490;192;4;2320;;;0;0;0;;;0;0;0;15;5490;192;4;2320;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2020;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;12;4392;133;1;2783;0;;0;0;0;0;;0;0;0;12;4392;133;1;2783;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2020;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;8;2928;208;0;3102;;;0;0;0;;;0;0;0;8;2928;208;0;3102;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;8;2928;234;1;1974;;;0;0;0;;;0;0;0;8;2928;234;1;1974;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;16;5856;313;3;4356;;;0;0;0;;;0;0;0;16;5856;313;3;4356;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;0;0;;;;;1007;;;;;2434
MCO;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;62;22630;4044;379;21861;26;9490;1067;73;4879;20;7300;950;182;2763;108;39420;6061;634;29503;7;690;;;188;7;971;1;88;;;15;1749;;;188;0;1;1;1;1;1;1;1;1;200;150;;;20345;4645;23650;435;4836;5431
MCO;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1815;0;0;0;0;2;1815;0;0;0;;;;;;;;;;;;;;;;;;;
MCO;2020;010780195;CLINIQUE CONVERT;010000156;68;24820;3989;1492;12512;69;25185;4849;405;13486;;;0;0;0;137;50005;8838;1897;25998;1;3;;;3521;31;7342;;0;;;32;7345;;;3521;;;;;;;;;;;;;;;;;;;
MCO;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;26;9516;4741;1431;13978;46;16836;1801;175;5275;15;5490;741;11;2855;87;31842;7283;1617;22108;2;344;;;193;26;4553;;0;;;28;4897;;;193;;;;;;;;;;;;;;;;;;;
MCO;2020;020000089;CH GUISE;020000022;28;10220;819;46;6219;0;0;0;0;0;0;0;0;0;0;28;10220;819;46;6219;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;1;1;1;1;0;1;1;1;0;200;0;50;0;6760;;2708;0;557;1378
MCO;2020;020000097;CH LA FÈRE;020000048;38;13908;610;6;9813;;;0;0;0;;;0;0;0;38;13908;610;6;9813;;0;;;0;;0;;0;;;;0;;;0;0;1;0;0;0;0;0;0;1;;;;;432;72;528;0;32;0
MCO;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;15;3409;270;5;3378;;;0;0;0;;;0;0;0;15;3409;270;5;3378;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;0;;;;;903;;808;;;
MCO;2020;020000162;CH SAINT-QUENTIN;020000063;298;108945;17695;1979;90538;86;31476;4102;327;16342;28;6898;1904;98;6621;412;147319;23701;2404;113501;21;3341;2;158;44427;26;4604;0;696;0;0;47;8641;2;158;44427;1;1;1;1;1;1;1;1;1;;103;;;92345;622;49002;0;3815;11896
MCO;2020;020000246;CH VERVINS;020000071;25;9125;438;3;6632;;;0;0;0;;;0;0;0;25;9125;438;3;6632;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;776;1;18;;1;42
MCO;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;0;0;0;30;8130;766;3;1999;;;0;0;0;30;8130;766;3;1999;;1120;;;1;18;3260;;0;;;18;4380;;;1;;;;;;;;;;;;;;;;;;;
MCO;2020;020000394;CH LAON;020000253;127;44191;6051;998;38638;34;10971;2147;110;8848;18;6557;1141;97;4221;179;61719;9339;1205;51707;14;938;;;8145;11;1042;0;229;;;25;2209;;;8145;1;0;1;1;1;1;1;1;1;40;118;11;104;44060;5451;68192;608;5631;14440
MCO;2020;020000519;CH SOISSONS;020000261;206;75190;11834;2396;58901;45;16425;1042;54;6130;25;9125;1955;365;6206;276;100740;14831;2815;71237;;0;;;19111;15;3122;;0;;;15;3122;;;19111;1;;1;1;1;1;1;1;1;;;;;50985;554;56470;465;2754;23853
MCO;2020;020000535;CH CHAUNY;020000287;119;43554;4798;558;28355;5;1830;186;16;780;18;6588;919;246;2232;142;51972;5903;820;31367;5;338;1;366;1874;21;1826;0;0;;;26;2164;1;366;1874;1;1;1;1;0;0;1;0;0;27;;;;19854;987;21361;;1474;6189
MCO;2020;020001061;CH CHÂTEAU-THIERRY;020004404;144;51818;6990;1154;39904;15;4918;743;10;2654;15;5490;825;5;3161;174;62226;8558;1169;45719;4;96;2;19;595;10;3102;;250;;;14;3448;2;19;595;1;1;1;1;1;1;1;0;1;106;62;3;30;30397;2453;51574;390;2438;13042
MCO;2020;020001087;CH HIRSON;020004495;60;21900;2761;1088;14239;0;0;0;0;0;0;0;0;0;0;60;21900;2761;1088;14239;4;386;0;0;0;0;0;0;0;0;0;4;386;0;0;0;1;1;1;0;0;1;1;0;0;;;10;;;;;;;
MCO;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;35;12810;1822;270;10069;68;24888;3272;19;8650;17;6222;525;4;2079;120;43920;5619;293;20798;4;85;;;3939;40;8571;;0;;;44;8656;;;3939;0;0;0;1;0;0;1;0;1;;;;;;;;;;
MCO;2020;030000061;CH DE MOULINS;030780092;206;78314;9018;1724;57998;65;18037;3009;274;16239;25;9150;1275;4;5004;296;105501;13302;2002;79241;14;766;0;0;20437;9;1529;2;305;;;25;2600;0;0;20437;1;0;1;1;0;1;1;0;1;104;0;52;60;35797;5287;36641;1186;3219;17391
MCO;2020;030000079;CH DE MONTLUCON;030780100;261;89359;13266;2627;76539;33;12078;1271;35;6692;33;12078;1612;79;5490;327;113515;16149;2741;88721;2;960;;;11800;4;562;3;572;;;9;2094;;;11800;1;1;1;1;1;1;1;1;0;120;120;100;;39049;2019;43415;0;2523;10233
MCO;2020;030000087;CH JACQUES LACARIN VICHY;030780118;224;81739;13463;2575;71096;55;21937;2743;132;15227;21;7686;1654;265;4791;300;111362;17860;2972;91114;13;1611;;;14840;14;4963;0;0;;;27;6574;;;14840;1;1;1;1;1;1;1;1;1;80;130;10;60;47899;3680;57023;0;3110;7073
MCO;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;8;2928;81;1;1951;;;0;0;0;;;0;0;0;8;2928;81;1;1951;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;10;3660;136;0;3483;;;0;0;0;;;0;0;0;10;3660;136;0;3483;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;502;;;;;
MCO;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;10;3650;985;264;4088;57;20805;2183;152;5794;;;0;0;0;67;24455;3168;416;9882;5;17;;;1415;26;5497;;0;;;31;5514;;;1415;;;;;;;;;;;;;;;;;;;
MCO;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;75;24037;2245;16;23396;50;16196;2726;35;10588;;;0;0;0;125;40233;4971;51;33984;3;84;0;0;7120;25;6136;;0;;;28;6220;0;0;7120;;;;;;;;;;;;;;;;;;;
