BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2023;010000024;CH DE FLEYRIAT;010780054;;1;;1;;;1;;;;;;1;0;0;0;0;1;0;0;0;0;;5.36;0.8
INFOMED;2023;010000032;CH BUGEY SUD;010780062;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;0;1;730000015;2.63;0.05
INFOMED;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;1;;;;;1;;;;;0;0;0;0;0;0;;;;1;690000575;;
INFOMED;2023;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;1;;;1;;0;0;1;1;1;0;0;0;0;1;740781133;0;0.01
INFOMED;2023;010000099;CH DE MEXIMIEUX;010780120;;;1;;;;;;;;;;0;0;1;1;1;1;1;0;0;0;;0.5;0.05
INFOMED;2023;010000107;CH DE PONT DE VAUX;010780138;;1;;;;;;1;;;;;0;0;0;1;1;0;0;0;0;0;;0.2;0.1
INFOMED;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;1;;;;;;1;;;;0;0;1;1;1;1;0;1;;;;0.56;
INFOMED;2023;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;1;;;;;;1;;;;0;0;1;1;1;1;0;1;0;0;;0.54;
INFOMED;2023;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;1;010007987;1.7;0.2
INFOMED;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;1;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;010008407;1.7;
INFOMED;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;1;;;0;0;0;0;0;0;;;0;0;;3.28;1
INFOMED;2023;010002129;SSR LES ARBELLES;310025010;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;1;0.2
INFOMED;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;;1;;;;;;1;;;;;0;0;0;;0;0;0;0;0;0;;2;0.65
INFOMED;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.1;
INFOMED;2023;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;1;010780278;0.4;0.08
INFOMED;2023;010010171;CLINIQUE DE CHATILLON;010011559;;;;;;;;;;;1;;0;0;0;0;0;1;0;0;0;1;920030269;0.3;0.1
INFOMED;2023;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;;;;1;;;;;;0;0;1;0;0;0;0;0;0;0;;;
INFOMED;2023;010780195;CLINIQUE CONVERT;010000156;;1;;;;;;;;;;;0;0;0;0;0;0;;;0;0;;2;0.3
INFOMED;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;1;;;;;;;;;;;0;0;0;0;0;0;;;1;0;;1.5;0.1
INFOMED;2023;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.24
INFOMED;2023;010780294;NEPHROCARE CH BELLEY;690000278;1;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;690780499;;0.16
INFOMED;2023;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;1;;;1;;0;0;0;0;0;1;0;0;0;0;;0.7;0.05
INFOMED;2023;010780492;CRF ROMANS-FERRARI;360000707;;;;;;;;;1;;;;0;0;0;0;0;0;;;0;0;;0.8;0
INFOMED;2023;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;;;;;;;;;1;;;;0;0;0;1;1;0;0;0;0;0;;0.5;0.1
INFOMED;2023;020000089;CH GUISE;020000022;;;1;;;1;;;1;;;;0;0;0;0;0;1;0;0;1;1;020000162;2;0.1
INFOMED;2023;020000097;CH LA FÈRE;020000048;;;1;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;0.1;0.4
INFOMED;2023;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;1;;;1;;;1;;;;0;0;0;0;0;0;;;0;1;020004495;0.25;0.25
INFOMED;2023;020000162;CH SAINT-QUENTIN;020000063;;1;;;;;1;;;1;;;0;0;0;0;0;0;0;0;0;0;;4.5;1.35
INFOMED;2023;020000246;CH VERVINS;020000071;;;1;;;;;;1;;;;0;0;0;0;0;1;0;;0;;020004495;0.25;0.1
INFOMED;2023;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;;;;1;;;;;;0;0;0;1;1;1;1;0;1;0;;3.25;
INFOMED;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;;0.75;
INFOMED;2023;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;;;;;1;;0;0;0;1;1;0;;;0;0;;0.1;0.1
INFOMED;2023;020000394;CH LAON;020000253;;;1;;;;;;1;;;;0;0;1;1;1;0;0;0;0;0;;3.71;0
INFOMED;2023;020000519;CH SOISSONS;020000261;1;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;3;1.9
