BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;DISU;DISHU
IMAGES_P;2023;010000024;CH DE FLEYRIAT;010780054;M1160;1.78;;0;1;;
IMAGES_P;2023;010000024;CH DE FLEYRIAT;010780054;MAUT;0.1;;;;;
IMAGES_P;2023;010000024;CH DE FLEYRIAT;010780054;N4130;12.81;;;;;
IMAGES_P;2023;010000024;CH DE FLEYRIAT;010780054;N4160;1;;;;;
IMAGES_P;2023;010000024;CH DE FLEYRIAT;010780054;NAUT;22.21;;;;;
IMAGES_P;2023;010000032;CH BUGEY SUD;010780062;N4130;7.94;;;;;
IMAGES_P;2023;010000032;CH BUGEY SUD;010780062;NAUT;4.57;;;;;
IMAGES_P;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;0.6;;0;0;0;0
IMAGES_P;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N4130;0.88;;0;0;;
IMAGES_P;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;1.5;;;;;
IMAGES_P;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4130;2.6;;;;;
IMAGES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2.5;0;;;;
IMAGES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4130;5.35;0;;;;
IMAGES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;4.78;0;;;;
IMAGES_P;2023;010780195;CLINIQUE CONVERT;010000156;M1160;0;1;0;0;0;0
IMAGES_P;2023;010780195;CLINIQUE CONVERT;010000156;N4130;1;0;0;0;;
IMAGES_P;2023;020000089;CH GUISE;020000022;M1160;;1;0;0;0;0
IMAGES_P;2023;020000089;CH GUISE;020000022;N4130;1.86;;0;0;;
IMAGES_P;2023;020000089;CH GUISE;020000022;NAUT;1.75;;;;;
IMAGES_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1160;7.41;;1;1;1;1
IMAGES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N4130;22.61;;0;1;;
IMAGES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N4160;1;;;;;
