BOR;AN;FI;RS;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2023;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;16;460;16;4511;;0;0;0;1;1;;;0;;98;11
BRULES;2023;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;3;649;633;2022;;0;0;0;0;0;1;38;1;;0;54
BRULES;2023;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;9;68;2;1794;6;113;3;1065;1;0;0;599;0;;112;4
BRULES;2023;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;16;149;5;2618;2;181;15;458;1;0;1;747;78;2249;212;5
BRULES;2023;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;9;46;2;529;7;451;18;2967;1;1;1;;0;2441;117;10
BRULES;2023;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;12;303;10;3517;;0;0;0;;;1;631;0;829;144;2
BRULES;2023;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;6;97;3;1771;17;734;304;4543;1;1;0;1697;10;8890;239;70
BRULES;2023;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;;9;9;53;1;100;100;684;0;1;1;727;0;844;0;95
BRULES;2023;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;14;194;9;4020;;0;0;0;1;0;1;3520;1;713;153;8
BRULES;2023;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;12;161;15;3488;4;1652;284;0;1;1;1;864;293;5848;440;73
BRULES;2023;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;10;336;194;4618;20;415;10;2925;1;1;0;2037;2;8115;318;149
BRULES;2023;750100075;HU SAINT LOUIS SITE SAINT LOUIS APHP;750712184;15;157;4;4011;5;71;0;597;1;1;1;4018;0;3187;161;3
BRULES;2023;750100109;HU EST PARISIEN SITE TROUSSEAU APHP;750712184;8;282;281;3342;16;909;905;4757;1;0;1;8646;26;4355;0;593
BRULES;2023;830100574;HIA SAINTE ANNE;750821092;8;19;1;589;6;63;4;1088;1;0;1;812;54;2410;78;1
BRULES;2023;920120011;HIA PERCY;750821092;12;94;6;2694;;0;0;0;;;;550;0;896;77;6
BRULES;2023;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;2;29;0;260;;0;0;0;;;1;12;0;134;27;0
BRULES;2023;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;4;7;0;18;4;97;3;946;1;1;1;422;0;469;49;3
