BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2023;010000024;CH DE FLEYRIAT;010780054;2000;176.2;;0;57.67;6.98;11
Q21;2023;010000024;CH DE FLEYRIAT;010780054;2100;170.71;;;56.17;6.98;11
Q21;2023;010000024;CH DE FLEYRIAT;010780054;2300;1.75;;0;1.5;0;
Q21;2023;010000024;CH DE FLEYRIAT;010780054;2400;2.34;;0;0;0;
Q21;2023;010000024;CH DE FLEYRIAT;010780054;2500;1.4;;;;;
Q21;2023;010000024;CH DE FLEYRIAT;010780054;9999;176.2;;0;57.67;6.98;11
Q21;2023;010000032;CH BUGEY SUD;010780062;2000;30.74;;;4.33;;
Q21;2023;010000032;CH BUGEY SUD;010780062;2100;27.08;;;4.33;;
Q21;2023;010000032;CH BUGEY SUD;010780062;2400;3.66;;;;;
Q21;2023;010000032;CH BUGEY SUD;010780062;9999;30.74;;;4.33;;
Q21;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2000;18.51;;;3.12;;
Q21;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2100;12.44;;;3.12;;
Q21;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2400;6.07;;;;;
Q21;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;9999;18.51;;;3.12;;
Q21;2023;010000081;CH DU PAYS DE GEX;010780112;2000;1.67;;;;;
Q21;2023;010000081;CH DU PAYS DE GEX;010780112;2400;1.1;;;;;
Q21;2023;010000081;CH DU PAYS DE GEX;010780112;2500;0.57;;;;;
Q21;2023;010000081;CH DU PAYS DE GEX;010780112;9999;1.67;;;;;
Q21;2023;010000099;CH DE MEXIMIEUX;010780120;2000;2.07;0;0;0;0;0
Q21;2023;010000099;CH DE MEXIMIEUX;010780120;2100;0.69;0;0;0;0;0
Q21;2023;010000099;CH DE MEXIMIEUX;010780120;2400;1.38;0;0;0;0;0
Q21;2023;010000099;CH DE MEXIMIEUX;010780120;9999;2.07;0;0;0;0;0
Q21;2023;010000107;CH DE PONT DE VAUX;010780138;2000;2.98;;;;;
Q21;2023;010000107;CH DE PONT DE VAUX;010780138;2100;1.3;;;;;
Q21;2023;010000107;CH DE PONT DE VAUX;010780138;2400;1.68;;;;;
Q21;2023;010000107;CH DE PONT DE VAUX;010780138;9999;2.98;;;;;
