BOR;AN;FI;RS;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFLIB_PM;EFFLIB_GER;ETPSAL_PM;ETPSAL_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFLIB_INF;EFFLIB_AID;EFFLIB_ERG;EFFLIB_PMT;EFFLIB_APNM;ETPSAL_INF;ETPSAL_AID;ETPSAL_ERG;ETPSAL_PMT;ETPSAL_APNM
MCOGER;2023;010000024;CH DE FLEYRIAT;010780054;1;106;54;47;4.3;1;20;0;767;1;7885;;;2.12;1.12;0;0;;;;;;;;9.59;12.82;0;0;4.54
MCOGER;2023;010000099;CH DE MEXIMIEUX;010780120;0;;;;;1;10;0;158;0;2471;0;0;1.56;0.84;0;0;1;1;0;0;0;0;0;4.36;6.53;0;0;8.5
MCOGER;2023;010000107;CH DE PONT DE VAUX;010780138;0;;;;;1;5;0;76;0;1002;;;1.3;1.3;0;0;0;0;;;;;;3.4;4.49;0.3;0;0
MCOGER;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0;;;;;1;12;;110;0;2864;;;2.64;;;;;;;;;;;;;;;
MCOGER;2023;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;;;;;1;8;0;128;0;2382;0;;0.42;0.4;0;;0;;;;;;;;;;;
MCOGER;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;;1;5;;70;0;1112;;;1.22;0.8;;;;;;;;;;5.6;10.72;;;
MCOGER;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;1;13;0;654;0;4514;0;0;0.01;0;;;;;0;0;0;0;0;5.55;9.65;0;0;2.05
MCOGER;2023;020000097;CH LA FÈRE;020000048;0;;;;;1;30;;533;0;7748;;;3;0;0;;1;;;;;;;10.31;25.07;;;4.51
MCOGER;2023;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0;;;;;1;14;0;375;0;3920;;;0.84;;;;1;;;;;;;6.26;8.68;0;0;2.89
MCOGER;2023;020000162;CH SAINT-QUENTIN;020000063;1;283;0;258;0.5;1;50;1;2327;346;17795;0;;6.6;;0;0;0;0;;;;;;22.78;23.79;;;3.11
MCOGER;2023;020000394;CH LAON;020000253;1;51;0;48;1;1;25;;916;31;8597;;;2.69;2;0;0;0;0;;;;;;10.47;10.23;;;2.54
MCOGER;2023;020000519;CH SOISSONS;020000261;1;68;0;68;0.4;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;020000535;CH CHAUNY;020000287;1;378;0;327;0.1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;020001061;CH CHÂTEAU-THIERRY;020004404;0;;;;;1;21;0;837;5;9054;0;0;2.71;;0;;0;;0;0;0;0;0;9.14;12.23;;;0.25
MCOGER;2023;030000061;CH DE MOULINS;030780092;1;620;0;582;2.86;1;24;1;501;2;8690;0;0;3;2;1;1;0;0;;;;;;11;13.95;0;0;1.76
MCOGER;2023;030000079;CH DE MONTLUCON;030780100;1;100;0;100;0.6;1;27;;908;0;12203;;;3.71;3.71;0;0;1;1;;;;;;9.83;11.74;;;6.9
MCOGER;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;545;6;468;3.96;1;27;2;682;142;10451;0;0;3.04;3;0;0;0;0;0;0;0;0;0;10.21;11.44;0;0;6.48
MCOGER;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;37;329;366;2.45;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;100;441;304;1.87;1;24;2;706;26;8344;;;3.76;2.89;0;0;1;1;;;;;;7.49;9.82;;;4.09
MCOGER;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;;;;0.22;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;397;130;169;1.2;1;6;;181;0;1948;;;0.38;0.38;0;0;0;0;;;;;;4.16;4.56;;;2.36
MCOGER;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;3314;510;2744;3.71;1;30;2;898;44;10995;;;6.13;4.66;;;;;;;;;;24.4;16.24;0.59;;12.11
MCOGER;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;676;381;774;5.76;1;33;;1083;0;12253;0;0;6.73;6.73;;;;;0;0;0;0;0;13.68;16.94;0;0;7.38
MCOGER;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;297;27;289;1.7;1;31;0;979;0;10695;;;0.5;0.5;0;;0;;;;;;;12.95;18.99;1.5;;10.08
MCOGER;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1804;86;1471;2.25;1;16;;478;0;5902;;;2.9;1.8;0;0;0;0;;;;;;6.26;9.13;;;2.42
MCOGER;2023;060002102;CH LA PALMOSA DE MENTON;060791761;1;107;0;107;1.62;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;455;0;150;2.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;0;;;;;1;28;0;1032;0;9741;;;2.11;0.08;0;0;0;0;;;;;;11.43;16.26;;;6.66
MCOGER;2023;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;1;1168;1750;2587;6.8;1;50;0;1746;0;17811;;;11.54;3.62;0;0;1;1;;;;;;16.41;31.34;0.42;;14.15
MCOGER;2023;070000013;CH DE PRIVAS ARDECHE;070002878;1;;;;0.5;1;28;0;775;0;9128;;;2.62;;0;0;1;1;;;;;;10.11;19.56;;;6.23
MCOGER;2023;070000179;CH ARDECHE NORD;070780358;1;491;369;857;3.7;1;20;;529;0;6872;;;21.89;3.2;0;0;1;1;;;;;;7.9;15.85;;;2.88
MCOGER;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;426;77;;4.3;1;12;0;336;0;3618;;;0.69;0.62;;;;;;;;;;6.45;7.29;;;3.12
MCOGER;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;0;;;;;1;30;0;734;0;9402;;;5.21;2.02;0;0;0;0;;;;;;11.86;12.78;0;0;4.29
