BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;COMEHPAD
USLD_P;2023;010000024;CH DE FLEYRIAT;010780054;M1320;1.45;;
USLD_P;2023;010000024;CH DE FLEYRIAT;010780054;MEDCH;1.45;;
USLD_P;2023;010000024;CH DE FLEYRIAT;010780054;N2210;11.34;;1
USLD_P;2023;010000024;CH DE FLEYRIAT;010780054;N2510;16.76;;1
USLD_P;2023;010000024;CH DE FLEYRIAT;010780054;NAUT;12.36;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;M1320;0;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;MEDCH;0.55;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;N2210;3;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;N2410;0.07;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;N2460;0.1;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;N2510;4.1;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;N3120;0.04;;1
USLD_P;2023;010000081;CH DU PAYS DE GEX;010780112;NAUT;10.7;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;0;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MEDCH;0.95;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2210;7.86;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2410;2;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;0.15;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2510;11.1;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;0.11;;1
USLD_P;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;14.77;;1
USLD_P;2023;010009702;USLD EMILE PELICAND;010780054;MEDCH;1.35;;1
USLD_P;2023;010009702;USLD EMILE PELICAND;010780054;N2210;2.92;;1
USLD_P;2023;010009702;USLD EMILE PELICAND;010780054;N2460;0.3;;1
USLD_P;2023;010009702;USLD EMILE PELICAND;010780054;N2510;7.84;;1
USLD_P;2023;010009702;USLD EMILE PELICAND;010780054;NAUT;5.1;;1
USLD_P;2023;010789576;USLD;010780096;M1320;1;;1
USLD_P;2023;010789576;USLD;010780096;MEDCH;1;;1
USLD_P;2023;010789576;USLD;010780096;N2210;6.94;;0
USLD_P;2023;010789576;USLD;010780096;N2410;;1;0
USLD_P;2023;010789576;USLD;010780096;N2510;10.22;;0
USLD_P;2023;010789576;USLD;010780096;N3120;0.05;;
USLD_P;2023;010789576;USLD;010780096;NAUT;7.76;;
USLD_P;2023;010789717;USLD CH D'OYONNAX;010008407;MEDCH;0.92;0;
USLD_P;2023;010789717;USLD CH D'OYONNAX;010008407;N2210;2.73;0;
USLD_P;2023;010789717;USLD CH D'OYONNAX;010008407;N2510;9.56;0;
USLD_P;2023;010789717;USLD CH D'OYONNAX;010008407;NAUT;9.02;0;
USLD_P;2023;020000089;CH GUISE;020000022;MEDCH;0.6;;0
USLD_P;2023;020000089;CH GUISE;020000022;N2210;6;;0
USLD_P;2023;020000089;CH GUISE;020000022;N2510;13.5;;0
USLD_P;2023;020000089;CH GUISE;020000022;N3120;0.35;;
USLD_P;2023;020000089;CH GUISE;020000022;NAUT;9.77;;0
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1320;;0;1
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;MEDCH;0.76;0;1
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2210;8.02;0;1
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2460;0.5;0;1
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2510;32.9;0;0
USLD_P;2023;020000162;CH SAINT-QUENTIN;020000063;NAUT;14.46;0;0
USLD_P;2023;020000535;CH CHAUNY;020000287;M1320;0.7;;1
USLD_P;2023;020000535;CH CHAUNY;020000287;MEDCH;1.14;;1
USLD_P;2023;020000535;CH CHAUNY;020000287;N2210;8.57;;0
USLD_P;2023;020000535;CH CHAUNY;020000287;N2460;0.2;;1
USLD_P;2023;020000535;CH CHAUNY;020000287;N2510;17.88;;0
USLD_P;2023;020000535;CH CHAUNY;020000287;NAUT;5.89;;0
USLD_P;2023;020004677;USLD CH SOISSONS;020000261;MEDCH;0.6;;
USLD_P;2023;020004677;USLD CH SOISSONS;020000261;N2210;7.34;;
USLD_P;2023;020004677;USLD CH SOISSONS;020000261;N2510;18.85;;
USLD_P;2023;020004677;USLD CH SOISSONS;020000261;N3120;0.06;;
USLD_P;2023;020004677;USLD CH SOISSONS;020000261;NAUT;6.12;;
USLD_P;2023;020005476;USLD CH LAON;020000253;M1320;0.3;;1
USLD_P;2023;020005476;USLD CH LAON;020000253;MEDCH;0.57;;1
USLD_P;2023;020005476;USLD CH LAON;020000253;N2210;10.88;;0
USLD_P;2023;020005476;USLD CH LAON;020000253;N2510;15.37;;0
USLD_P;2023;020005476;USLD CH LAON;020000253;N3120;0.2;;0
USLD_P;2023;020005476;USLD CH LAON;020000253;NAUT;6.96;;0
USLD_P;2023;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;M1320;0.06;;
USLD_P;2023;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;MEDCH;0.08;;
