BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALHYB;SAL24HYB;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2023;010000024;CH DE FLEYRIAT;010780054;2;7;;2;2;;;1;;1;;;;11;2;;2;;;19;;;4015;3817;7832;6593;;411;266;677;627;;46;11;57;6;;264;87;351;280;;2176;2771;4947;3340;;3;60;63;0;
BLOCS;2023;010000032;CH BUGEY SUD;010780062;1;2;2;1;1;0;0;0;0;1;0;0;0;4;3;;1;1;;6;6;;862;1061;1923;1560;1519;213;46;259;105;;0;0;0;0;0;3;1;4;4;;388;893;1281;851;2965;1;9;10;4;3
BLOCS;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;3;;1;1;0;;0;;2;;1;;7;1;;1;;;8;;;1324;1639;2963;2139;;369;26;395;115;;0;0;0;0;;4;41;45;0;;441;1208;1649;1000;;1;1;2;0;
BLOCS;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;;;;;;;;;1;;;;1;;1;;;1;;;5;0;1704;1704;1252;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;969;969;662;;0;0;0;0;
BLOCS;2023;010780195;CLINIQUE CONVERT;010000156;1;8;;0;;1;1;1;;1;;0;;11;1;;1;;;18;;;3938;6497;10435;9215;;1;1;2;2;;1040;707;1747;2;;131;171;302;207;;1030;5335;6365;3916;;2;66;68;29;
BLOCS;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;4;1;1;1;0;0;0;0;1;1;0;0;6;3;;1;1;;8;8;;2799;5232;8031;7000;;195;17;212;177;;0;0;0;0;;40;195;235;78;;651;2555;3206;1720;;2;27;29;16;
BLOCS;2023;020000162;CH SAINT-QUENTIN;020000063;1;12;0;1;1;1;1;0;0;4;1;0;0;18;3;;1;1;;25;25;;6131;8197;14328;12516;;1167;168;1335;556;;1589;11;1600;1021;;215;532;747;385;;3657;3843;7500;3999;;12;21;33;1;
BLOCS;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;1;3;;;;;;;;1;;1;;5;;;1;;;6;;;1032;4624;5656;5003;;0;0;0;0;;0;0;0;0;;0;0;0;0;;284;829;1113;860;;1;41;42;41;
BLOCS;2023;020000394;CH LAON;020000253;1;4;1;1;;;;;;2;;;;7;1;;1;1;;9;9;;1915;2169;4084;2590;;397;78;475;291;;44;0;44;1;;2;12;14;2;;1415;1260;2675;1777;;5;100;105;1;
BLOCS;2023;020000519;CH SOISSONS;020000261;3;5;1;1;1;1;1;0;0;1;1;0;0;8;4;;1;0;;8;0;;2491;1911;4402;3411;3456;607;59;666;251;11;625;16;641;0;7;41;6;47;0;4;1529;1590;3119;1485;1594;2;18;20;1;522
