BOR;AN;FI;RS;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;14984;59;15;;22;524;353;49;7;;23;512;359;59833;4262;1715;;119;17809;8023;10274;127;2;;;119;36;169593;426;660;;62;1504;628;1;0.32;1;9.75;0;;0;;0;;0;0
PSY2;2023;010010171;CLINIQUE DE CHATILLON;010011559;970;;;;;;;;;;;;;39640;;;;;;;5276;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;34;;;;;;;;;;;;;;;;;;;;585;;;;;;;;;;;;;;0;;0;;1;3.68;0;;0;;0;0
PSY2;2023;020000386;CLINIQUE DE LA ROSERAIE;020000600;589;;;;;;;;;;;;;29971;;;;;;;2413;;;;;;;;;;;;;;0;;1;6.64;0;;0;;0;;0;0
PSY2;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;1397;58;2;3;69;242;255;71;2;3;109;277;313;91448;5791;773;65;951;7977;5769;13160;10;0;0;0;54;0;121162;1033;0;0;250;1560;1293;1;1;1;1.8;1;1;0;;0;;0;0
PSY2;2023;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;429;;;;;;;;;;;;;17185;;;;;;;3348;;;;;;;;;;;;;;0;;1;15.68;1;4.39;0;;0;;0;0
PSY2;2023;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;3013;18;0;0;0;31;61;22;0;0;0;34;85;8761;988;0;0;0;894;2691;9034;160;0;0;0;0;4;27888;0;0;0;0;0;1;1;1;0;;0;;0;;0;;0;0
PSY2;2023;030000061;CH DE MOULINS;030780092;5215;38;4;0;21;174;28;36;5;0;23;164;27;34444;1645;838;0;205;7142;824;10968;172;17;0;0;489;61;43902;304;2;0;9;445;43;1;1;1;35.59;1;35.82;0;;0;;0;0
PSY2;2023;030000087;CH JACQUES LACARIN VICHY;030780118;3639;44;;;;212;18;23;;;;169;14;18209;1381;;;;5549;106;3265;496;;;;829;0;104264;404;;;;1879;29;0;;1;36.1;1;2.8;0;;0;;0;0
PSY2;2023;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;887;0;0;0;0;0;0;0;0;0;0;0;0;101505;0;0;0;0;0;0;0;0;0;0;0;0;0;21857;0;0;0;0;0;0;0;;1;1.55;0;;0;;0;;0;0
PSY2;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;2303;20;;;;69;;92;;;;57;;11332;72;;;;250;;7368;19;;;;256;;17249;258;;;;1697;;1;0.5;1;19.14;1;3.13;0;;0;;0;0
PSY2;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;6802;57;1;;1;141;74;62;1;0;1;128;81;20022;2575;71;;21;7424;2334;16228;280;18;;0;486;222;57082;417;21;;0;715;312;1;;1;27.44;1;44.95;0;;0;;0;0
PSY2;2023;050000132;CH BUECH DURANCE;050007145;4146;23;2;1;0;46;49;21;1;1;;34;45;22394;926;160;11;;1347;1142;5445;67;;;;107;45;76089;286;38;20;;226;247;0;;0;;0;;0;;0;;0;0
PSY2;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1255;;;;;;;;;;;;;4094;;;;;;;2275;;;;;;;14776;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;050000454;LE FUTUR ANTERIEUR;050000645;83;;;;;;;;;;;;;9060;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;050000991;CENTRE MEDICAL CHANTOURS;050000546;343;;;;;;;;;;;;;12931;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1690;16;1;;5;116;5;16;1;;5;116;5;5658;719;365;;24;5099;58;2305;0;;;0;14;1;20945;187;;;0;107;0;1;1;0;;0;;0;;0;;;
PSY2;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;5325;35;0;0;1;174;19;18;0;0;1;65;9;12331;2410;0;0;9;6386;542;4147;169;0;0;0;16;0;50915;343;0;0;0;689;37;0;;0;;0;;0;;0;;0;0
PSY2;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;4450;55;3;0;2;170;18;66;4;0;2;177;17;7919;1735;50;0;4;5816;565;7767;18;0;0;0;122;8;44312;655;36;0;0;1641;81;1;3.64;0;0;1;6.26;0;;0;;0;0
PSY2;2023;060030079;VAL DES MIMOSAS;060030061;79;;;;;;;;;;;;;;;;;;;;1548;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060780442;CLINIQUE SAINT FRANCOIS;060000213;591;;;;;;;;;;;;;21862;;;;;;;4885;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;659;;;;;;;;;;;;;21549;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060780541;CLINIQUE LA GRANGEA;060000262;712;;;;;;;;;;;;;23347;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060780749;CLINIQUE SAINT LUC;060000395;354;;;;;;;;;;;;;15755;;;;;;;5873;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060780996;CHS SAINTE MARIE NICE;630786754;1227;212;28;;28;552;87;250;39;;31;653;92;45593;9777;3983;;518;27049;3143;22626;438;198;;;218;3;114159;4524;1271;;144;1569;62;1;16.4;1;33.16;0;;1;34.06;1;20.58;0;0
PSY2;2023;060781929;CLINIQUE DE LA COSTIERE;060000858;578;;;;;;;;;;;;;28109;;;;;;;7305;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;3010;88;4;;7;126;15;94;1;;19;96;5;9873;3458;412;;392;6343;426;2434;107;;;;68;;22476;802;3;;;166;5;1;2.03;;;;;0;;0;;0;0
PSY2;2023;060800174;FONDATION LENVAL;060800174;5601;;;;;;;;;;;;;5489;;;;;;;13447;;;;;;;60149;;;;;;;1;0.27;0;;1;18.95;0;;0;;0;0
