BOR;AN;FI;RS;FI_EJ;PERSO;EFFLIB;ETPSAL;GAR;AST
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;M100H;;1.82;0;0
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;M1030;;10.25;0;1
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;M200H;;9.53;0;1
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;N2200;;11.08;0;0
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;N2310;;23.59;0;1
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;N2320;;18.84;0;1
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;N2510;;17.19;0;0
BLOCS_P;2023;010000024;CH DE FLEYRIAT;010780054;NAUT;;4.83;0;0
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;M1030;;0.22;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;M200H;;2.7;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;N2200;;7.5;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;N2310;;2.96;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;N2320;;0.68;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;N2510;;3;;
BLOCS_P;2023;010000032;CH BUGEY SUD;010780062;NAUT;;3.2;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M100H;0;0.03;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;0;5.85;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M200H;0;2.72;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;0;7.29;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2310;0;6.49;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2320;0;5.04;;
BLOCS_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;0;2.87;;
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M100H;1;0.1;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;5;;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M200H;6;;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2200;;3;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2310;;0.72;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2510;;0.86;0;0
BLOCS_P;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;NAUT;;2.68;0;0
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;M100H;11;2.76;0;0
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;M1030;12;0;0;0
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;M200H;39;0;0;0
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N2200;0;111.92;0;1
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N2310;5;1.94;0;1
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N2320;0;25.07;0;1
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N2510;0;51.19;0;0
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N4130;0;1.11;0;1
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;N4160;0;8.4;0;1
BLOCS_P;2023;010780195;CLINIQUE CONVERT;010000156;NAUT;0;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M100H;2;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M200H;21;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2200;;12.06;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2310;;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2320;;3.21;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2510;;4.56;0;0
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4130;;0;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4160;;0.29;0;1
BLOCS_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;;16.63;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;M100H;0;3;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1030;0;10.1;1;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;M200H;0;25.6;0;1
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2200;;23.94;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2310;;26.32;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2320;;18.45;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2510;;11.77;0;0
BLOCS_P;2023;020000162;CH SAINT-QUENTIN;020000063;NAUT;;50.85;0;0
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M1030;;3;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M200H;18;4;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2200;;9.71;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2320;;0.99;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2510;;1.97;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N4160;;1;;
BLOCS_P;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;NAUT;;1.86;;
BLOCS_P;2023;020000394;CH LAON;020000253;M1030;;7.78;1;0
BLOCS_P;2023;020000394;CH LAON;020000253;N2200;;12.94;0;0
BLOCS_P;2023;020000394;CH LAON;020000253;N2310;;7.86;1;1
BLOCS_P;2023;020000394;CH LAON;020000253;N2320;;10.04;1;1
BLOCS_P;2023;020000394;CH LAON;020000253;N2510;;8.21;0;0
BLOCS_P;2023;020000394;CH LAON;020000253;NAUT;;6.42;0;0
BLOCS_P;2023;020000519;CH SOISSONS;020000261;M1030;;6.75;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;M200H;;10.65;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;N2200;;11.03;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;N2310;;10.2;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;N2320;;10.91;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;N2510;;7.55;;
BLOCS_P;2023;020000519;CH SOISSONS;020000261;NAUT;;3.42;;
BLOCS_P;2023;020000535;CH CHAUNY;020000287;M100H;;0.15;0;1
BLOCS_P;2023;020000535;CH CHAUNY;020000287;M1030;;6.08;1;0
BLOCS_P;2023;020000535;CH CHAUNY;020000287;M200H;;0.92;0;1
BLOCS_P;2023;020000535;CH CHAUNY;020000287;N2200;;2.11;;
BLOCS_P;2023;020000535;CH CHAUNY;020000287;N2310;;0.86;1;
BLOCS_P;2023;020000535;CH CHAUNY;020000287;N2320;;3.86;1;
BLOCS_P;2023;020000535;CH CHAUNY;020000287;N2510;;4;;
BLOCS_P;2023;020000535;CH CHAUNY;020000287;NAUT;;4.86;;
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;M100H;2;1.14;0;0
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;;2.48;1;0
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;M200H;;2.77;0;1
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;;13.66;;
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2310;;11.49;;1
BLOCS_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2320;;1;;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M100H;28;0;0;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1030;5;0;0;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M200H;19;0;0;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2200;;15.33;;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2320;;4.01;0;1
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2510;;7.5;;
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4160;;0.97;;
BLOCS_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;;10.81;;
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;M100H;;0.43;0;1
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;M1030;;5.4;1;0
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;M200H;;5.14;0;1
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;N2200;;1.56;1;1
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;N2310;;11.74;1;0
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;N2320;;17.26;1;1
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;N2510;;8.87;0;1
BLOCS_P;2023;030000061;CH DE MOULINS;030780092;NAUT;;6.47;0;0
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;M1030;;7.52;1;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;N2200;;9.6;;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;N2310;;10.08;;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;N2320;;6.72;;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;N2510;;7.8;;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;N4160;;1;;
BLOCS_P;2023;030000079;CH DE MONTLUCON;030780100;NAUT;;1;;
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;0;7.22;1;0
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;M200H;0;23.98;0;1
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;0;29.69;0;1
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2310;0;18.95;0;1
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2320;0;10.16;0;1
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;0;9;0;0
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;0;4;0;0
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;0;0.97;0;0
BLOCS_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;0;11.47;0;1
