BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO
MCO;2023;010000024;CH DE FLEYRIAT;010780054;246;88792;11287;689;79578;68;22958;3639;164;17963;40;14600;3533;852;10440;354;126350;18459;1705;107981;22;3590;;;43157;20;3498;4;588;;;46;7676;;;43157
MCO;2023;010000032;CH BUGEY SUD;010780062;56;20440;3301;485;19584;19;6935;884;34;3994;8;2920;418;37;1388;83;30295;4603;556;24966;8;124;0;;1234;8;1613;1;85;;;17;1822;0;;1234
MCO;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;59;20303;2031;79;18624;;;0;0;0;;;0;0;0;59;20303;2031;79;18624;;0;;;7;;0;;0;;;;0;;;7
MCO;2023;010000099;CH DE MEXIMIEUX;010780120;10;3650;158;0;2471;;;0;0;0;;;0;0;0;10;3650;158;0;2471;;0;;;0;;0;;0;;;;0;;;0
MCO;2023;010000107;CH DE PONT DE VAUX;010780138;5;3395;76;1;1002;;;0;0;0;;;0;0;0;5;3395;76;1;1002;;0;;;0;;0;;0;;;;0;;;0
MCO;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;12;4380;110;0;2864;;;0;0;0;;;0;0;0;12;4380;110;0;2864;;0;;;0;;0;;0;;;;0;;;0
MCO;2023;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;8;2690;128;0;2382;0;;0;0;0;0;;0;0;0;8;2690;128;0;2382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2023;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;6;2320;264;1;2297;;;0;0;0;;;0;0;0;6;2320;264;1;2297;;0;;;0;;0;;0;;;;0;;;0
MCO;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;16;5840;305;6;4340;;;0;0;0;;;0;0;0;16;5840;305;6;4340;;0;;;0;;0;;0;;;;0;;;0
MCO;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;52;18980;4243;417;20932;20;7300;1071;57;4773;17;6205;798;164;2322;89;32485;6112;638;28027;7;1395;;;438;8;1572;1;89;;;16;3056;;;438
MCO;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;2131;;0;;;2;2131;;;0
