BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACT;ACTINT
IMAGES;2023;010000024;CH DE FLEYRIAT;010780054;IRM;3;3;1715;33;;8727;10475;
IMAGES;2023;010000024;CH DE FLEYRIAT;010780054;RADIO;4;4;11480;160;;19510;31150;1
IMAGES;2023;010000024;CH DE FLEYRIAT;010780054;SCAN;2;2;7656;109;;8973;16738;1
IMAGES;2023;010000024;CH DE FLEYRIAT;010780054;VASC;2;2;127;;;;127;1
IMAGES;2023;010000024;CH DE FLEYRIAT;010780054;dtIRM2;1;1;478;4;;2860;3342;
IMAGES;2023;010000032;CH BUGEY SUD;010780062;MAMM;1;1;;;;642;642;
IMAGES;2023;010000032;CH BUGEY SUD;010780062;RADIO;2;2;2136;;;16597;18733;1
IMAGES;2023;010000032;CH BUGEY SUD;010780062;SCAN;1;1;1300;;;10582;11882;1
IMAGES;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;RADIO;1;1;1063;237;0;38;1338;0
IMAGES;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;RADIO;2;2;1760;;;292;2052;0
IMAGES;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;IRM;1;1;61;;;636;697;
IMAGES;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;RADIO;2;2;1769;;;14627;16396;
IMAGES;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SCAN;1;1;1018;;;4462;5480;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;CAM;2;;;;;;;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;IRM;1;;;;;;;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;RADIO;2;;;;;;;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;SCAN;1;;;;;;;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;TOMO;1;;;;;;;0
IMAGES;2023;010780195;CLINIQUE CONVERT;010000156;VASC;1;1;80;;;;80;1
IMAGES;2023;020000089;CH GUISE;020000022;RADIO;1;1;861;98;0;4112;5071;0
IMAGES;2023;020000162;CH SAINT-QUENTIN;020000063;IRM;1;1;1884;;15;3468;5367;0
