BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;GARDED;ASTDED
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;M1140;1.5;;1;0;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;M2050;4.01;;1;0;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;MIVG;;5;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N2200;4.17;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N2340;16.23;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N2530;25.26;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N2700;0.27;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N2800;25.33;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;N280H;23.33;;;;;
PERINAT_P;2023;010000024;CH DE FLEYRIAT;010780054;NAUT;10.4;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;M1140;1.2;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;M2050;1.04;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;MAUT;0.1;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;N2530;4.58;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;N2800;10.05;;;;;
PERINAT_P;2023;010000032;CH BUGEY SUD;010780062;NAUT;5.39;;;;;
PERINAT_P;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;MIVG;0.2;;;;;
PERINAT_P;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;0.3;;;;;
PERINAT_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;1.9;0;;;;
PERINAT_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;3.53;0;;;;
