BOR;AN;FI;RS;FI_EJ;TELEMED_A1;TELEMED_A20;TELEMED_A21;TELEMED_A22;TELEMED_B1;TELEMED_B20;TELEMED_B21;TELEMED_B22;TELEMED_A2;TELEMED_A23;TELEMED_B2;TELEMED_B23;TELEMED_A3;TELEMED_A24;TELEMED_A25;TELEMED_B3;TELEMED_B24;TELEMED_B25;TELEMED_A4;TELEMED_B4;TELEMED_A17;TELEMED_A18;TELEMED_A19;TELEMED_A39;TELEMED_A26;TELEMED_A27;TELEMED_A28;TELEMED_A29;TELEMED_A30;TELEMED_A31;TELEMED_A32;TELEMED_A33;TELEMED_A34;TELEMED_A35;TELEMED_A36;TELEMED_A37;TELEMED_A38
TELEMED;2023;010000024;CH DE FLEYRIAT;010780054;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;;0;0;0;0;1;0;1;1;0;0;0;0;0;0
TELEMED;2023;010000032;CH BUGEY SUD;010780062;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0
TELEMED;2023;010000081;CH DU PAYS DE GEX;010780112;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;1;0;0;0;0;0;0
TELEMED;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2023;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TELEMED;2023;020000162;CH SAINT-QUENTIN;020000063;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;1;0;1;0;1;0;0;0;0;0
TELEMED;2023;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;1;1;0;0;0;0;0;0
TELEMED;2023;020000519;CH SOISSONS;020000261;0;;;;0;;;;1;0;0;0;1;1;0;0;0;0;0;0;1;0;;0;0;1;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2023;020000535;CH CHAUNY;020000287;0;;;;1;0;0;0;0;0;1;1;0;;;0;;;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0
