BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;JOUHP;EMSSR
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_A;;28;10220;13;401;12688;3293;
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_A50;1;9;;;;4599;0;
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_A53;1;;;5;;0;1760;
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_A54;1;;;5;;0;752;
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_A59;1;19;;3;;8089;781;
SSR;2023;010000024;CH DE FLEYRIAT;010780054;SSR_TOT;;28;10220;13;401;12688;3293;0
SSR;2023;010000032;CH BUGEY SUD;010780062;SSR_A;;40;14600;8;420;13825;2323;
SSR;2023;010000032;CH BUGEY SUD;010780062;SSR_A50;1;40;;8;;13825;2323;
SSR;2023;010000032;CH BUGEY SUD;010780062;SSR_TOT;;40;14600;8;420;13825;2323;0
SSR;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A;;80;28912;;803;26515;0;
SSR;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A50;1;52;;;;16576;0;
SSR;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A59;1;28;;;;9939;0;
SSR;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_TOT;;80;28912;;803;26515;0;0
SSR;2023;010000081;CH DU PAYS DE GEX;010780112;SSR_A;;20;7300;;124;6542;0;
SSR;2023;010000081;CH DU PAYS DE GEX;010780112;SSR_A50;1;20;;;;6542;0;
SSR;2023;010000081;CH DU PAYS DE GEX;010780112;SSR_TOT;;20;7300;;124;6542;0;0
SSR;2023;010000099;CH DE MEXIMIEUX;010780120;SSR_A;;20;7300;;267;7206;0;
SSR;2023;010000099;CH DE MEXIMIEUX;010780120;SSR_A50;1;20;;;;7206;0;
SSR;2023;010000099;CH DE MEXIMIEUX;010780120;SSR_TOT;;20;7300;;267;7206;0;
